"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,0,0,6,1,2,0,1,1,1,1,1,1,159,59,159,59,150,1.2798273949,2.22969415835,169,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.589715562732,1,1.38030719069,142,1.1,"b",0,10,27,10,-17,NA,NA,NA
"2","neutral",0,0,1,6,1,2,0,2,2,1,1,2,1,120,147,147,120,168,0.709819544023,1.80983904352,174,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.399618603062,1,1.69010582308,152,1.2,"b",0,27,22,27,5,-17,27,10
"3","neutral",0,1,0,6,2,1,0,2,2,1,1,3,1,62,78,62,78,93,1.25979308901,2.49981296708,57,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.31973977035,1,0.980246619061,117,1.4,"b",0,-5,60,5,-55,5,22,27
"4","cued",1,1,1,6,2,1,1,1,0,1,1,4,1,44,82,82,44,148,0.319877678965,1.40999509959,51,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.349630185581,1,1.01036057244,88,1.2,"b",0,-31,37,31,-6,-55,60,5
"5","cued",1,0,0,6,1,2,1,1,0,1,1,5,1,54,53,54,53,51,0.329909253729,1.35995650621,29,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.549589864588,1,1.38011730344,56,1.5,"b",0,-25,27,25,-2,-6,37,31
"6","cued",1,1,1,6,2,1,1,1,0,1,1,6,1,54,69,69,54,24,0.379875437575,1.92987091573,53,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.529671834583,1,1.29022732688,89,1.3,"b",0,-16,36,16,-20,-2,27,25
"7","neutral",0,1,0,6,2,1,0,2,2,1,1,7,1,82,67,82,67,156,1.39976582576,3.05974237229,86,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.429671864629,1,1.22016614533,53,1.1,"b",0,4,33,4,-29,-20,36,16
"8","neutral",0,0,1,6,1,2,0,2,2,1,1,8,1,159,135,135,159,78,1.29973430809,2.51973640526,160,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.309658620596,1,1.38017168571,128,1.2,"b",0,25,32,25,-7,-29,33,4
"9","cued",1,0,0,6,1,2,1,1,0,1,1,9,1,3,129,3,129,54,0.429882483231,1.57997572929,0,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.55970616752,1,1.60021734879,8,1.3,"b",0,-3,8,3,-5,-7,32,25
"10","neutral",0,0,1,6,1,2,0,2,2,1,1,10,1,140,22,22,140,160,1.16977571973,2.35986306486,32,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.769613594484,1,1.48020710929,57,1,"b",0,10,25,10,-15,-5,8,3
