"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,1,1,2,2,1,0,1,1,1,1,1,1,170,86,86,170,53,2.19962660166,NA,82,"[ 1.7]",1,12,22,32,42,52,62,72,77,0,1.04958404302,1,2.58000167651,97,1.4,"a",0,-4,15,4,-11,NA,NA,NA
"2","cued",1,1,0,2,2,1,2,2,0,1,1,2,1,178,131,178,131,127,1.26980584067,NA,168,"[ 1.9]",2,13,23,33,43,53,63,73,78,0,0.669569807735,1,2.47993164178,-178,1.2,"a",0,-10,14,10,-4,-11,15,4
"3","neutral",0,1,0,2,2,1,0,2,2,1,1,3,1,109,18,109,18,46,1.10981450563,2.66971402338,124,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.839520735353,0,NA,112,1.2,"a",0,15,12,15,3,-4,14,10
"4","neutral",0,1,0,2,2,1,0,2,2,1,1,4,1,171,132,171,132,104,0.819798644916,2.53970632287,164,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.479668147782,1,1.48025041845,-179,1.1,"a",0,-7,17,7,-10,3,12,15
"5","cued",1,1,1,2,2,1,1,1,0,1,1,5,1,9,163,163,9,53,0.679889038081,NA,167,"[ 1.5]",2,14,24,34,44,54,64,74,79,0,0.889621551105,1,1.81018607123,-177,1,"a",0,4,16,4,-12,-10,17,7
"6","neutral",0,1,0,2,2,1,0,2,2,1,1,6,1,172,61,172,61,56,0.879833214607,NA,173,"[ 1.7]",1,11,21,31,41,51,61,71,76,0,0.82958097243,1,1.64008852437,-171,1.1,"a",0,1,16,1,-15,-12,16,4
"7","neutral",0,0,1,2,1,2,0,2,2,1,1,7,1,94,90,90,94,113,0.759849703263,NA,90,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,0.519588240295,1,2.29998807217,95,1.3,"a",0,0,5,0,-5,-15,16,1
"8","neutral",0,0,1,2,1,2,0,2,2,1,1,8,1,17,108,108,17,108,0.849856790861,2.39980122277,99,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.759605738462,1,1.93006322354,110,1.3,"a",0,-9,11,9,-2,-5,5,0
"9","neutral",0,0,0,2,1,2,0,1,1,1,1,9,1,149,119,149,119,121,0.519876671584,NA,171,"[ 1.6]",1,11,21,31,41,51,61,71,76,0,0.479551873916,1,1.30011726535,152,1.3,"a",0,22,19,22,3,-2,11,9
"10","cued",1,1,1,2,2,1,1,1,0,1,1,10,1,127,7,7,127,49,0.519884483267,NA,8,"[ 1.8]",2,14,24,34,44,54,64,74,79,0,0.749657863405,1,1.68013510602,-3,1.2,"a",0,1,11,1,-10,3,19,22
"11","cued",1,1,1,2,2,1,1,1,0,1,1,11,1,39,129,129,39,78,0.60988976817,NA,123,"[ 1.9]",2,14,24,34,44,54,64,74,79,0,0.499608965285,1,1.49016584499,139,1.3,"a",0,-6,16,6,-10,-10,11,1
"12","cued",1,0,1,2,1,2,2,2,0,1,1,12,1,58,156,156,58,55,0.539824399424,NA,135,"[ 1.9]",2,14,24,34,44,54,64,74,79,0,0.549694157675,1,2.25007143181,122,1.1,"a",0,-21,13,21,8,-10,16,6
"13","cued",1,1,0,2,2,1,2,2,0,1,1,13,1,35,136,35,136,56,0.579885703093,NA,18,"[ 1.8]",2,13,23,33,43,53,63,73,78,0,0.459479159188,1,1.36007071374,5,1.2,"a",0,-17,13,17,4,8,13,21
