"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,0,1,14,1,2,0,2,2,1,1,1,1,139,31,31,139,170,0.839841602246,2.26989240851,24,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.579592468297,1,1.72014103169,13,1.2,"b",1,-7,11,7,-4,NA,NA,NA
"2","cued",1,0,1,14,1,2,2,2,0,1,1,2,1,161,143,143,161,14,0.329953760596,1.54987396082,142,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.319692458379,1,1.19023774686,154,1.3,"b",0,-1,12,1,-11,-4,11,7
"3","cued",1,0,1,14,1,2,2,2,0,1,1,3,1,172,64,64,172,6,0.259928252304,NA,46,"[ 1.8]",2,14,24,34,44,54,64,74,79,0,0.629635883459,1,1.87009821742,30,1.4,"b",0,-18,16,18,2,-11,12,1
"4","cued",1,1,1,14,2,1,1,1,0,1,1,4,1,49,117,117,49,165,0.329574891912,1.95954307415,131,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.289750114924,1,1.39023384099,146,1.2,"b",0,14,15,14,-1,2,16,18
"5","cued",1,0,0,14,1,2,1,1,0,1,1,5,1,65,14,65,14,69,0.409870715946,1.54993495236,45,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.299669203472,1,1.22025219855,61,1.2,"b",0,-20,16,20,4,-1,15,14
"6","neutral",0,1,1,14,2,1,0,1,1,1,1,6,1,127,150,150,127,151,0.369833520112,1.9097790784,148,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.329677946596,1,1.2401360442,160,1.3,"b",0,-2,12,2,-10,4,16,20
"7","neutral",0,1,1,14,2,1,0,1,1,1,1,7,1,134,92,92,134,1,0.36985725574,1.39995132694,131,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.299634952065,1,0.920382894728,113,1.4,"b",0,39,18,39,21,-10,12,2
"8","cued",1,0,0,14,1,2,1,1,0,1,1,8,1,176,62,176,62,14,0.089967040527,1.05000345518,160,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.209645678162,1,1.38018645988,170,1.2,"b",0,-16,10,16,6,21,18,39
"9","cued",1,1,0,14,2,1,2,2,0,1,1,9,1,147,127,147,127,127,0.15994778162,0.779990565839,152,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.389702343218,1,1.68013448186,136,1.2,"b",0,5,16,5,-11,6,10,16
"10","neutral",0,0,1,14,1,2,0,2,2,1,1,10,1,154,34,34,154,46,0.459820991309,2.05995168748,17,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.319671426812,1,1.53014935418,3,1.1,"b",0,-17,14,17,3,-11,16,5
