"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","neutral",0,1,0,21,2,1,0,2,2,1,1,1,1,113,46,113,46,123,0.669904193212,2.09981098237,124,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.429686554029,1,1.14015877961,153,1,"b",0,11,29,11,-18,NA,NA,NA
"2","neutral",0,1,1,21,2,1,0,1,1,1,1,2,1,96,29,29,96,48,0.869838933906,1.82986941228,49,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.479682032148,1,1.23024907001,29,1.1,"b",0,20,20,20,0,-18,29,11
"3","neutral",0,1,0,21,2,1,0,2,2,1,1,3,1,142,66,142,66,9,0.859859548276,1.90998151888,145,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.339707733257,1,1.0204253813,109,1.2,"b",0,3,36,3,-33,0,20,20
"4","neutral",0,1,1,21,2,1,0,1,1,1,1,4,1,7,8,8,7,117,1.05975252542,2.10986698459,14,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.379695883224,1,0.950254802734,-1,1.4,"b",0,6,15,6,-9,-33,36,3
"5","cued",1,1,0,21,2,1,2,2,0,1,1,5,1,71,8,71,8,78,0.399883001963,1.30995345617,67,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.359726896419,1,1.24023236158,49,1.2,"b",0,-4,18,4,-14,-9,15,6
"6","cued",1,0,1,21,1,2,2,2,0,1,1,6,1,108,76,76,108,34,0.359994904245,1.4401803224,76,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.279693810071,1,0.780348356093,57,1.3,"b",0,0,19,0,-19,-14,18,4
"7","neutral",0,0,0,21,1,2,0,1,1,1,1,7,1,129,53,129,53,158,0.639915259049,1.70013649771,119,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.399664870032,1,1.31015987027,138,1.3,"b",0,-10,19,10,-9,-19,19,0
"8","neutral",0,0,1,21,1,2,0,2,2,1,1,8,1,43,119,119,43,152,0.959864626,2.06990767851,121,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.309663214513,1,0.810275095613,138,1.5,"b",0,2,17,2,-15,-9,19,10
"9","neutral",0,1,0,21,2,1,0,2,2,1,1,9,1,157,10,157,10,95,0.669780705299,1.59986341216,145,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.3296667539,1,0.870273395025,165,1.2,"b",0,-12,20,12,-8,-15,17,2
"10","cued",1,0,1,21,1,2,2,2,0,1,1,10,1,122,108,108,122,174,0.34983854932,1.6098307795,118,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.329678772187,1,1.15037973284,133,1.2,"b",0,10,15,10,-5,-8,20,12
"11","cued",1,0,0,21,1,2,1,1,0,1,1,11,1,138,21,138,21,89,0.329882181717,1.54993824102,130,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.3296667539,1,1.24027021919,148,1.3,"b",0,-8,18,8,-10,-5,15,10
"12","cued",1,0,0,21,1,2,1,1,0,1,1,12,1,175,5,175,5,111,0.289965240105,2.05987961882,168,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,1.40955742353,1,2.0400812917,-177,1.3,"b",0,-7,15,7,-8,-10,18,8
"13","cued",1,0,1,21,1,2,2,2,0,1,1,13,1,173,145,145,173,156,0.329853938738,1.52995272907,156,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.359687236067,1,1.22021470071,171,1.5,"b",0,11,15,11,-4,-8,15,7
"14","cued",1,0,0,21,1,2,1,1,0,1,1,14,1,24,139,24,139,72,0.309908087136,1.30993272463,34,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.329698602363,1,0.950235273014,18,1.2,"b",0,10,16,10,-6,-4,15,11
"15","neutral",0,0,1,21,1,2,0,2,2,1,1,15,1,154,36,36,154,108,0.699879005884,1.76994352306,25,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.32971182248,1,0.890267019324,8,1.4,"b",0,-11,17,11,-6,-6,16,10
"16","cued",1,0,1,21,1,2,2,2,0,1,1,16,1,85,123,123,85,115,0.32993115624,1.62992445604,124,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.359657791261,1,1.16026988268,142,1.2,"b",0,1,18,1,-17,-6,17,11
"17","cued",1,1,1,21,2,1,1,1,0,1,1,17,1,57,78,78,57,150,0.309913194909,1.28991596512,77,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.299667303736,1,1.00035754408,62,1.1,"b",0,-1,15,1,-14,-17,18,1
"18","cued",1,0,0,21,1,2,1,1,0,1,1,18,1,147,88,147,88,37,0.349932291969,1.53995374762,119,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.289651863241,1,1.20023339516,140,1.3,"b",0,-28,21,28,7,-14,15,1
"19","neutral",0,0,0,21,1,2,0,1,1,1,1,19,1,124,138,124,138,10,0.709874916662,2.2297773522,139,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.429634574932,1,1.12020751978,159,1.2,"b",0,15,20,15,-5,7,21,28
"20","cued",1,1,1,21,2,1,1,1,0,1,1,20,1,66,53,53,66,164,0.349872200528,1.50983411457,46,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.319644102432,1,0.96021646139,27,1.4,"b",0,-7,19,7,-12,-5,20,15
"21","cued",1,1,0,21,2,1,2,2,0,1,1,21,1,28,110,28,110,156,0.239865202879,1.52982022744,23,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.369729116797,1,1.02028476733,10,1.4,"b",0,-5,13,5,-8,-12,19,7
"22","neutral",0,0,1,21,1,2,0,2,2,1,1,22,1,125,154,154,125,82,0.769842268981,2.26983641007,156,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.319742051479,1,1.01026632226,174,1.4,"b",0,2,18,2,-16,-8,13,5
"23","neutral",0,1,0,21,2,1,0,2,2,1,1,23,1,75,162,75,162,105,0.519875995302,1.50007316133,54,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.299710870031,1,0.790300700577,35,1.4,"b",0,-21,19,21,2,-16,18,2
"24","cued",1,1,0,21,2,1,2,2,0,1,1,24,1,114,3,114,3,56,0.349930789684,1.40000408622,116,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.299752633582,1,1.08030139463,142,1.5,"b",0,2,26,2,-24,2,19,21
"25","cued",1,1,0,21,2,1,2,2,0,1,1,25,1,115,105,115,105,41,0.289930987983,1.50993356591,130,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.289660276041,1,0.930224522655,113,1.1,"b",0,15,17,15,-2,-24,26,2
"26","cued",1,1,1,21,2,1,1,1,0,1,1,26,1,152,37,37,152,41,0.239970963816,2.23980180641,26,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.259661126336,1,0.830227557275,49,1.4,"b",0,-11,23,11,-12,-2,17,15
"27","neutral",0,1,1,21,2,1,0,1,1,1,1,27,1,152,13,13,152,120,0.739886685569,1.88988423684,23,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.28967019113,1,0.840240594112,4,1.2,"b",0,10,19,10,-9,-12,23,11
"28","neutral",0,0,0,21,1,2,0,1,1,1,1,28,1,35,85,35,85,3,0.649882626392,2.14983049707,19,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.339569522943,1,0.960249211224,-3,1.2,"b",0,-16,22,16,-6,-9,19,10
"29","neutral",0,0,0,21,1,2,0,1,1,1,1,29,1,125,12,125,12,133,0.449918140434,1.42994284403,118,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.319650111574,1,1.41018748229,147,1.5,"b",0,-7,29,7,-22,-6,22,16
"30","neutral",0,1,1,21,2,1,0,1,1,1,1,30,1,123,151,151,123,15,0.929796070681,2.36988956095,163,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.299674214251,1,0.920301022064,-175,1.2,"b",0,12,22,12,-10,-22,29,7
"31","cued",1,1,1,21,2,1,1,1,0,1,1,31,1,40,42,42,40,152,0.379959985108,2.02995978981,41,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.279682392696,1,1.13024819868,18,1.3,"b",0,-1,23,1,-22,-10,22,12
"32","neutral",0,0,1,21,1,2,0,2,2,1,1,32,1,116,178,178,116,156,1.03983762091,2.92978074736,8,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.309715193611,1,2.14018191482,47,1.1,"b",0,10,39,10,-29,-22,23,1
"33","cued",1,1,1,21,2,1,1,1,0,1,1,33,2,127,38,38,127,16,0.319904899285,1.63993298603,41,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.33970202457,1,0.800286696265,16,1.4,"b",0,3,25,3,-22,-29,39,10
"34","cued",1,0,0,21,1,2,1,1,0,1,1,34,2,110,161,110,161,75,0.259904196215,1.13994605591,127,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.469620922158,1,0.94026820613,152,1,"b",0,17,25,17,-8,-22,25,3
"35","neutral",0,1,1,21,2,1,0,1,1,1,1,35,2,44,140,140,44,51,0.589895143441,1.75997074749,138,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.409685117844,1,0.800270171119,158,1.4,"b",0,-2,20,2,-18,-8,25,17
"36","cued",1,0,1,21,1,2,2,2,0,1,1,36,2,149,1,1,149,36,0.339898223127,2.14982719204,6,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.589644862588,1,1.4601240708,16,1.3,"b",0,5,10,5,-5,-18,20,2
"37","cued",1,0,0,21,1,2,1,1,0,1,1,37,2,177,137,177,137,75,0.329924546182,2.10985436539,6,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.339748895896,1,1.07033823369,-8,1.3,"b",0,9,14,9,-5,-5,10,5
"38","neutral",0,0,1,21,1,2,0,2,2,1,1,38,2,132,158,158,132,78,0.699874198568,1.88993621594,169,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.599672621829,1,1.3502045062,-180,1.1,"b",0,11,11,11,0,-5,14,9
"39","cued",1,1,1,21,2,1,1,1,0,1,1,39,2,22,144,144,22,19,0.469917172963,2.17984436918,153,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.719614537442,1,1.47027471704,135,1,"b",0,9,18,9,-9,0,11,11
"40","cued",1,1,0,21,2,1,2,2,0,1,1,40,2,171,5,171,5,17,0.239905163688,1.24997017962,158,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.599589996096,1,1.27023511678,138,1.1,"b",0,-13,20,13,-7,-9,18,9
"41","neutral",0,0,1,21,1,2,0,2,2,1,1,41,2,153,166,166,153,160,0.939849669241,2.44986766362,174,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.4296874554,1,1.56017662076,160,1.3,"b",0,8,14,8,-6,-7,20,13
"42","neutral",0,0,0,21,1,2,0,1,1,1,1,42,2,7,3,7,3,115,0.519954114176,2.0599267906,7,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.329732854485,1,1.1503716205,36,1.4,"b",0,0,29,0,-29,-6,14,8
"43","neutral",0,1,1,21,2,1,0,1,1,1,1,43,2,114,81,81,114,174,1.08983490177,2.41977026441,73,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.259662328166,1,0.960275050546,56,1.3,"b",0,-8,17,8,-9,-29,29,0
"44","cued",1,0,1,21,1,2,2,2,0,1,1,44,2,68,49,49,68,62,0.289935194385,1.00001622469,62,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.289657872383,1,0.950232869356,43,1.2,"b",0,13,19,13,-6,-9,17,8
"45","cued",1,1,0,21,2,1,2,2,0,1,1,45,2,99,26,99,26,102,0.319849915617,1.25997119817,109,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.289701739137,1,0.910267253681,92,1.3,"b",0,10,17,10,-7,-6,19,13
"46","cued",1,0,0,21,1,2,1,1,0,1,1,46,2,110,17,110,17,39,1.98970633613,3.33969871954,114,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.349672696944,1,0.990237244016,137,1.4,"b",1,4,23,4,-19,-7,17,10
"47","cued",1,0,1,21,1,2,2,2,0,1,1,47,2,95,103,103,95,119,1.95971770243,2.46990245056,119,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.429563667032,1,1.19020263134,143,1.3,"b",1,16,24,16,-8,-19,23,4
"48","neutral",0,1,0,21,2,1,0,2,2,1,1,48,2,33,108,33,108,156,0.689876184591,1.78990589981,49,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.429540231371,1,1.00015623775,26,1.4,"b",0,16,23,16,-7,-8,24,16
"49","neutral",0,1,0,21,2,1,0,2,2,1,1,49,2,166,102,166,102,129,0.629930164732,1.40002992554,160,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.289694528163,1,0.810337590712,178,1.4,"b",0,-6,18,6,-12,-7,23,16
"50","cued",1,1,0,21,2,1,2,2,0,1,1,50,2,29,98,29,98,167,0.329952188245,1.61993966219,19,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.29969464534,1,0.770370773205,-8,1.1,"b",0,-10,27,10,-17,-12,18,6
"51","neutral",0,0,1,21,1,2,0,2,2,1,1,51,2,72,40,40,72,47,0.89987053299,1.63990564442,12,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.369641984207,1,0.790212666614,-10,1.3,"b",0,-28,22,28,6,-17,27,10
"52","cued",1,1,0,21,2,1,2,2,0,1,1,52,2,6,50,6,50,153,0.56991263606,2.15994629027,12,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.649623331825,1,1.18022144297,31,1.1,"b",0,6,19,6,-13,6,22,28
"53","neutral",0,0,0,21,1,2,0,1,1,1,1,53,2,57,92,57,92,123,0.659921202094,1.6800839838,53,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.239665999752,1,0.680378131403,18,1,"b",0,-4,35,4,-31,-13,19,6
"54","cued",1,1,1,21,2,1,1,1,0,1,1,54,2,62,40,40,62,20,0.299858394519,1.42992481659,55,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.299700053572,1,0.780367885813,37,1.3,"b",0,15,18,15,-3,-31,35,4
"55","neutral",0,1,1,21,2,1,0,1,1,1,1,55,2,27,68,68,27,10,0.739814876297,2.10987780105,73,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.469621823529,1,1.05021841737,57,1.1,"b",0,5,16,5,-11,-3,18,15
"56","cued",1,0,1,21,1,2,2,2,0,1,1,56,2,105,150,150,105,168,0.629923855131,1.56997122521,153,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.309579386952,1,0.810230027031,178,1.3,"b",0,3,25,3,-22,-11,16,5
"57","neutral",0,1,1,21,2,1,0,1,1,1,1,57,2,134,73,73,134,45,0.799864854349,1.51997063932,69,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.319611352596,1,0.750256966025,46,1.2,"b",0,-4,23,4,-19,-22,25,3
"58","cued",1,1,1,21,2,1,1,1,0,1,1,58,2,90,177,177,90,154,0.319896786941,1.26989199465,172,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.269704509352,1,0.82027431142,-173,1.2,"b",0,-5,15,5,-10,-19,23,4
"59","neutral",0,0,0,21,1,2,0,1,1,1,1,59,2,111,172,111,172,54,0.539878633317,1.73994557518,119,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.319688570098,1,1.11023895061,138,1.1,"b",0,8,19,8,-11,-10,15,5
"60","neutral",0,1,0,21,2,1,0,2,2,1,1,60,2,51,89,51,89,67,0.46982823763,1.85988027982,47,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.289605292373,1,1.00036235139,-3,1.2,"b",0,-4,50,4,-46,-11,19,8
