"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","cued",1,0,1,9,1,2,2,2,0,1,1,1,1,31,121,121,31,84,0.649833558831,2.00013010024,110,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.599514212323,1,1.72999783967,122,1.3,"b",0,-11,12,11,-1,NA,NA,NA
"2","neutral",0,0,1,9,1,2,0,2,2,1,1,2,1,111,140,140,111,59,0.789834634486,2.31987411826,149,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.419616531804,1,1.61022720068,167,1.2,"b",0,9,18,9,-9,-1,12,11
"3","cued",1,0,0,9,1,2,1,1,0,1,1,3,1,101,117,101,117,18,0.469929268136,2.09986980962,104,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.479598750437,1,1.35019107909,114,1.1,"b",0,3,10,3,-7,-9,18,9
"4","neutral",0,0,1,9,1,2,0,2,2,1,1,4,1,38,129,129,38,48,0.739888462331,2.43988482674,134,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.349606379179,1,1.53043158726,151,1.1,"b",0,5,17,5,-12,-7,10,3
"5","neutral",0,1,1,9,2,1,0,1,1,1,1,5,1,100,126,126,100,81,0.739858115625,2.07017029911,123,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.349661363805,1,1.33028153631,136,1.1,"b",0,-3,13,3,-10,-12,17,5
"6","neutral",0,1,1,9,2,1,0,1,1,1,1,6,1,98,139,139,98,170,0.769825338177,1.82986945207,150,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.109691325919,1,1.24049915225,172,1.2,"b",0,11,22,11,-11,-10,13,3
"7","cued",1,0,0,9,1,2,1,1,0,1,1,7,1,119,67,119,67,103,1.90969330897,3.24964402712,123,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.289710393266,1,1.85031231568,145,1.1,"b",1,4,22,4,-18,-11,22,11
"8","cued",1,1,1,9,2,1,1,1,0,1,1,8,1,147,159,159,147,149,0.209881128045,1.51998841417,154,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.339723869007,1,1.36034100083,166,1.3,"b",0,-5,12,5,-7,-18,22,4
"9","cued",1,0,1,9,1,2,2,2,0,1,1,9,1,151,44,44,151,40,0.419845784647,1.58988769615,23,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.299680638469,1,1.40055459357,11,1.2,"b",0,-21,12,21,9,-7,12,5
"10","cued",1,0,1,9,1,2,2,2,0,1,1,10,1,116,6,6,116,165,0.399924824298,2.2199685536,12,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.399684754806,1,1.21025129777,-1,1.1,"b",0,6,13,6,-7,9,12,21
"11","cued",1,0,0,9,1,2,1,1,0,1,1,11,1,36,12,36,12,101,0.399899885913,1.7798938346,33,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.339744901379,1,1.22056256785,21,1.3,"b",0,-3,12,3,-9,-7,13,6
"12","cued",1,1,0,9,2,1,2,2,0,1,1,12,1,72,57,72,57,66,0.549931599724,2.30991739386,54,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.299680037546,1,1.20027083684,42,1.3,"b",0,-18,12,18,6,-9,12,3
"13","neutral",0,0,0,9,1,2,0,1,1,1,1,13,1,177,70,177,70,153,0.689856958845,2.21984866909,169,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.299709783329,1,1.20032612193,178,1.4,"b",0,-8,9,8,-1,6,12,18
"14","cued",1,0,0,9,1,2,1,1,0,1,1,14,1,154,117,154,117,75,0.369902617118,2.25009051431,164,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.389656219888,1,1.3701691273,177,1,"b",0,10,13,10,-3,-1,9,8
"15","cued",1,1,1,9,2,1,1,1,0,1,1,15,1,82,150,150,82,39,1.10980009332,2.39979832961,153,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.379693486244,1,1.31022476694,-176,1.4,"b",0,3,31,3,-28,-3,13,10
