"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","cued",1,1,0,18,2,1,2,2,0,1,1,1,1,30,141,30,141,118,2.34971814951,3.92976197523,23,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,1.31944186963,1,2.19999350997,-1,1.1,"a",1,-7,24,7,-17,NA,NA,NA
"2","cued",1,0,0,18,1,2,1,1,0,1,1,2,1,159,42,159,42,6,0.479909307872,1.7499569585,167,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.479537934062,1,1.23013458094,-166,1,"a",0,8,27,8,-19,-17,24,7
"3","neutral",0,1,1,18,2,1,0,1,1,1,1,3,1,79,7,7,79,45,0.66987842916,2.06999615105,8,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.37969426561,1,1.37029544349,-7,1.3,"a",0,1,15,1,-14,-19,27,8
"4","cued",1,0,1,18,1,2,2,2,0,1,1,4,1,12,117,117,12,145,2.41967614161,3.83968730085,112,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.319694560065,1,1.29026258472,146,1.2,"a",1,-5,34,5,-29,-14,15,1
"5","neutral",0,0,0,18,1,2,0,1,1,1,1,5,1,55,85,55,85,19,0.939862982294,2.29991950563,24,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.299765367469,1,1.6602118934,-9,1.3,"a",0,-31,33,31,-2,-29,34,5
"6","cued",1,1,1,18,2,1,1,1,0,1,1,6,1,125,47,47,125,14,0.469887923831,1.80990588558,47,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.349668572912,1,1.15029131511,19,1.3,"a",0,0,28,0,-28,-2,33,31
"7","cued",1,1,1,18,2,1,1,1,0,1,1,7,1,96,22,22,96,62,0.409929682352,1.55000010516,24,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.45964930414,1,1.07031945058,0,1.2,"a",0,2,24,2,-22,-28,28,0
"8","cued",1,0,1,18,1,2,2,2,0,1,1,8,1,133,67,67,133,140,0.409973550132,2.14990942505,77,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.379714396714,1,1.17028480706,55,1.1,"a",0,10,22,10,-12,-22,24,2
"9","neutral",0,1,0,18,2,1,0,2,2,1,1,9,1,34,175,34,175,49,0.819904434342,2.21982775587,48,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.359711590378,1,1.19029963196,4,1.4,"a",0,14,44,14,-30,-12,22,10
"10","neutral",0,0,1,18,1,2,0,2,2,1,1,10,1,139,88,88,139,77,0.689929610241,2.49985142043,85,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.479658720689,1,1.91015968773,68,1.3,"a",0,-3,17,3,-14,-30,44,14
"11","neutral",0,1,0,18,2,1,0,2,2,1,1,11,1,78,174,78,174,118,0.879873192069,2.12977501538,76,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.269681384708,1,1.12023557599,50,1.2,"a",0,-2,26,2,-24,-14,17,3
"12","neutral",0,1,0,18,2,1,0,2,2,1,1,12,1,36,3,36,3,54,1.1697499807,2.09992359194,66,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.359708886201,1,1.21025075845,29,1.2,"a",0,30,37,30,-7,-24,26,2
"13","cued",1,1,0,18,2,1,2,2,0,1,1,13,1,90,23,90,23,30,0.399830177607,2.10985603856,91,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.359661713313,1,1.91032163796,73,1.3,"a",0,1,18,1,-17,-7,37,30
"14","cued",1,1,1,18,2,1,1,1,0,1,1,14,1,104,70,70,104,75,0.409884312251,1.26999416799,72,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.299682439338,1,1.40026104334,55,1.4,"a",0,2,17,2,-15,-17,18,1
"15","cued",1,0,1,18,1,2,2,2,0,1,1,15,1,93,128,128,93,62,0.359892469854,1.23995886043,120,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.37968014379,1,1.43022844597,142,1.5,"a",0,-8,22,8,-14,-15,17,2
