"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","cued",1,1,1,24,2,1,1,1,0,1,1,1,1,154,13,13,154,127,0.519843502929,1.83987983304,39,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.419628953401,1,1.22021867167,56,1.2,"a",0,26,17,26,9,NA,NA,NA
"2","cued",1,1,1,24,2,1,1,1,0,1,1,2,1,66,81,81,66,57,2.12965329265,3.87952267312,61,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.629617088731,1,1.34016841282,44,1.5,"a",1,-20,17,20,3,9,17,26
"3","cued",1,0,1,24,1,2,2,2,0,1,1,3,1,118,162,162,118,101,0.319880998772,1.85980941416,159,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.559690647281,1,1.4001921061,144,1.2,"a",0,-3,15,3,-12,3,17,20
"4","cued",1,0,0,24,1,2,1,1,0,1,1,4,1,134,140,134,140,46,1.01984996255,2.23980484135,118,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.649718225352,1,1.41029855764,103,1.1,"a",1,-16,15,16,1,-12,15,3
"5","neutral",0,1,1,24,2,1,0,1,1,1,1,5,1,102,174,174,102,18,0.639874665339,2.58966719135,163,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.539615950035,1,1.54017237872,149,1.1,"a",0,-11,14,11,-3,1,15,16
"6","cued",1,1,0,24,2,1,2,2,0,1,1,6,1,137,16,137,16,92,0.33992354814,1.54989816333,131,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.499569609019,1,1.3801892158,107,1.1,"a",0,-6,24,6,-18,-3,14,11
"7","neutral",0,1,0,24,2,1,0,2,2,1,1,7,1,125,67,125,67,177,0.619870272798,1.76987136943,127,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.459654263094,1,1.32017273325,115,1.1,"a",0,2,12,2,-10,-18,24,6
"8","cued",1,0,1,24,1,2,2,2,0,1,1,8,1,57,103,103,57,140,0.429900350592,1.30989682935,107,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.389654212017,1,1.39019441654,97,1.1,"a",0,4,10,4,-6,-10,12,2
"9","neutral",0,1,0,24,2,1,0,2,2,1,1,9,1,14,142,14,142,151,0.769864459138,2.24973583157,16,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.439656780844,1,1.59014189833,28,1.1,"a",1,2,12,2,-10,-6,10,4
"10","cued",1,0,0,24,1,2,1,1,0,1,1,10,1,173,112,173,112,72,0.329941481849,1.53990978765,166,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.659668444214,1,1.72021010892,152,1.3,"a",0,-7,14,7,-7,-10,12,2
"11","cued",1,1,1,24,2,1,1,1,0,1,1,11,1,32,167,167,32,166,0.309877901158,1.63991041859,168,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.649585728024,1,1.99999068613,-180,1.1,"a",0,1,12,1,-11,-7,14,7
"12","neutral",0,1,1,24,2,1,0,1,1,1,1,12,1,138,46,46,138,98,0.589888020228,2.2197896327,51,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.539637582251,1,1.48017572571,34,1.3,"a",0,5,17,5,-12,-11,12,1
"13","cued",1,1,0,24,2,1,2,2,0,1,1,13,1,37,8,37,8,25,0.339841826432,1.44983323664,30,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.19963651867,1,2.17015601335,18,1,"a",0,-7,12,7,-5,-12,17,5
"14","cued",1,1,1,24,2,1,1,1,0,1,1,14,1,86,25,25,86,73,0.3099319817,1.8498528859,32,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.549537325939,1,1.39005591027,19,1.4,"a",0,7,13,7,-6,-5,12,7
"15","neutral",0,0,1,24,1,2,0,2,2,1,1,15,1,33,14,14,33,23,0.549855800243,1.49001628125,28,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.659581915347,1,1.3201907601,12,1.2,"a",0,14,16,14,-2,-6,13,7
