"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","cued",1,0,1,22,1,2,2,2,0,1,1,1,1,141,138,138,141,106,0.539924131443,1.28989649043,142,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.35970265486,1,0.940261171474,161,1.4,"b",0,4,19,4,-15,NA,NA,NA
"2","cued",1,1,1,22,2,1,1,1,0,1,1,2,1,21,21,21,21,91,0.319916428012,1.30982776047,24,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.299738792472,1,0.960291588601,48,1.2,"b",0,3,24,3,-21,-15,19,4
"3","cued",1,1,0,22,2,1,2,2,0,1,1,3,1,21,19,21,19,114,0.759861831013,1.7298298756,13,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.96964356319,1,1.66016221666,-12,1.4,"b",0,-8,25,8,-17,-21,24,3
"4","cued",1,0,0,22,1,2,1,1,0,1,1,4,1,23,37,23,37,76,0.199922004285,0.850011777473,31,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.379668175707,1,1.00029233371,4,1.3,"b",0,8,27,8,-19,-17,25,8
"5","neutral",0,0,1,22,1,2,0,2,2,1,1,5,1,1,177,177,1,62,0.519883799605,2.20982379458,171,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.569666457155,1,1.49013396275,-170,1.2,"b",0,-6,19,6,-13,-19,27,8
"6","neutral",0,1,0,22,2,1,0,2,2,1,1,6,1,83,86,83,86,165,0.589778595524,2.05965500416,74,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.499562250556,1,1.13016781697,57,1.2,"b",0,-9,17,9,-8,-13,19,6
"7","cued",1,0,0,22,1,2,1,1,0,1,1,7,1,108,125,108,125,168,0.209924143459,1.34994357629,122,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.569601560876,1,1.34024699044,147,1.5,"b",0,14,25,14,-11,-8,17,9
"8","neutral",0,1,1,22,2,1,0,1,1,1,1,8,1,119,165,165,119,112,0.439915358427,1.30996025704,157,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.399702799072,1,1.14022343549,-177,1.5,"b",0,-8,26,8,-18,-11,25,14
"9","cued",1,1,0,22,2,1,2,2,0,1,1,9,1,26,5,26,5,74,0.999838360192,2.07984856333,30,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.439580361424,1,0.990235513409,1,1.3,"b",0,4,29,4,-25,-18,26,8
"10","neutral",0,1,1,22,2,1,0,1,1,1,1,10,1,28,126,126,28,34,0.679846219851,2.00979903785,127,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.339683955115,1,0.880367312944,89,1.3,"b",0,1,38,1,-37,-25,29,4
"11","neutral",0,1,1,22,2,1,0,1,1,1,1,11,1,40,140,140,40,98,0.609886227207,1.54990433808,134,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.229654114844,1,1.000282419,170,1.4,"b",0,-6,36,6,-30,-37,38,1
"12","neutral",0,1,0,22,2,1,0,2,2,1,1,12,1,160,100,160,100,115,1.43964435637,2.41968965157,166,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.269705935725,1,0.98027603753,-178,1.3,"b",0,6,16,6,-10,-30,36,6
"13","neutral",0,0,1,22,1,2,0,2,2,1,1,13,1,111,129,129,111,98,0.649860232641,1.56993235164,120,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.26966537555,1,0.760291768867,146,1.4,"b",0,-9,26,9,-17,-10,16,6
"14","cued",1,1,1,22,2,1,1,1,0,1,1,14,1,90,45,45,90,72,0.28990370113,1.04997914907,54,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.409646050881,1,0.920261399813,24,1.2,"b",0,9,30,9,-21,-17,26,9
"15","neutral",0,0,0,22,1,2,0,1,1,1,1,15,1,104,98,104,98,54,0.679818278397,1.93988651563,128,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.389665507746,1,0.980261315688,155,1.1,"b",0,24,27,24,-3,-21,30,9
"16","neutral",0,0,1,22,1,2,0,2,2,1,1,16,1,49,1,1,49,137,1.32970885606,2.24980020358,22,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.399618073374,1,0.96016960763,-2,1.2,"b",0,21,24,21,-3,-3,27,24
"17","cued",1,0,1,22,1,2,2,2,0,1,1,17,1,84,13,13,84,37,0.339888558667,1.36990398956,11,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.579542409117,1,1.21008307926,-7,1.3,"b",0,-2,18,2,-16,-3,24,21
"18","cued",1,0,0,22,1,2,1,1,0,1,1,18,1,3,145,3,145,16,0.3298963342,0.999987080831,9,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.469606608363,1,1.30011525099,-18,1.2,"b",0,6,27,6,-21,-16,18,2
"19","neutral",0,0,1,22,1,2,0,2,2,1,1,19,1,173,93,93,173,163,0.459860448964,2.16976656568,101,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.399640606805,1,0.890400998922,87,1.3,"b",0,8,14,8,-6,-21,27,6
"20","cued",1,1,1,22,2,1,1,1,0,1,1,20,1,153,119,119,153,159,0.379817797684,1.31987466605,119,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.49958087819,1,1.16020518041,96,1.2,"b",0,0,23,0,-23,-6,14,8
"21","cued",1,1,0,22,2,1,2,2,0,1,1,21,1,16,146,16,146,132,0.47990498704,1.69989135882,20,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.419588100905,1,0.990283885172,-5,1.3,"b",0,4,25,4,-21,-23,23,0
"22","cued",1,1,1,22,2,1,1,1,0,1,1,22,1,48,147,147,48,57,0.0499166563513,1.1200001322,163,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.899530944109,1,1.7301477472,-168,1.4,"b",0,16,29,16,-13,-21,25,4
"23","neutral",0,0,0,22,1,2,0,1,1,1,1,23,1,31,8,31,8,129,0.659816103171,2.0498322311,20,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.509609156145,1,1.08023643878,61,1.5,"b",0,-11,41,11,-30,-13,29,16
"24","cued",1,0,1,22,1,2,2,2,0,1,1,24,1,175,156,156,175,157,0.0699149257853,0.919964859866,164,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.429537061184,1,1.34024038063,145,1,"b",0,8,19,8,-11,-30,41,11
"25","cued",1,0,1,22,1,2,2,2,0,1,1,25,1,116,49,49,116,41,0.449859511571,1.02998087963,46,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.52958669482,1,1.30011855589,16,1.5,"b",0,-3,30,3,-27,-11,19,8
"26","neutral",0,1,0,22,2,1,0,2,2,1,1,26,1,143,29,143,29,168,0.689799386369,1.57983534372,153,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.469610213713,1,1.2101858317,127,1.3,"b",0,10,26,10,-16,-27,30,3
"27","neutral",0,0,0,22,1,2,0,1,1,1,1,27,1,21,21,21,21,16,0.769778944043,1.5399586827,15,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.0196007797167,1,1.22005337118,-14,1.4,"b",0,-6,29,6,-23,-16,26,10
"28","neutral",0,1,0,22,2,1,0,2,2,1,1,28,1,3,147,3,147,54,0.649877057602,1.8498267029,14,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.909566132314,1,1.62011490247,-5,1.4,"b",0,11,19,11,-8,-23,29,6
"29","neutral",0,0,0,22,1,2,0,1,1,1,1,29,1,57,79,57,79,121,0.589870832368,1.63989024116,65,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.829440558013,1,1.51005021049,33,1.5,"b",0,8,32,8,-24,-8,19,11
"30","cued",1,0,0,22,1,2,1,1,0,1,1,30,1,113,143,113,143,98,0.409903532882,1.42997090484,115,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.149635499227,1,1.58007479897,141,1.1,"b",0,2,26,2,-24,-24,32,8
"31","neutral",0,1,1,22,2,1,0,1,1,1,1,31,1,90,4,4,90,154,0.699859211125,2.22976377754,8,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.329608206735,1,1.00044435925,-10,1.5,"b",0,4,18,4,-14,-24,26,2
"32","cued",1,1,0,22,2,1,2,2,0,1,1,32,1,10,134,10,134,2,0.669760556762,1.55981664397,35,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.329646062899,1,0.930267745227,-8,1.4,"b",0,25,43,25,-18,-14,18,4
"33","neutral",0,0,0,22,1,2,0,1,1,1,1,33,2,83,61,83,61,53,0.929821282856,1.63988273002,69,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.559631869843,1,1.22013148707,87,1.2,"b",0,-14,18,14,-4,-18,43,25
"34","neutral",0,1,1,22,2,1,0,1,1,1,1,34,2,22,40,40,22,87,0.979806140389,1.69990187442,59,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.809636977419,1,1.36016744442,26,1.3,"b",0,19,33,19,-14,-4,18,14
"35","cued",1,1,1,22,2,1,1,1,0,1,1,35,2,6,120,120,6,27,0.36996167514,1.88993110178,109,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.339625368195,1,0.980186504697,138,1,"b",0,-11,29,11,-18,-14,33,19
"36","cued",1,0,0,22,1,2,1,1,0,1,1,36,2,135,113,135,113,164,0.129927159935,1.05001189765,124,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.579611511639,1,1.58010033686,156,1.1,"b",0,-11,32,11,-21,-18,29,11
"37","cued",1,1,0,22,2,1,2,2,0,1,1,37,2,142,107,142,107,143,0.339857011864,0.909936882359,139,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.279718590502,1,1.25023014144,109,1.1,"b",0,-3,30,3,-27,-21,32,11
"38","cued",1,1,0,22,2,1,2,2,0,1,1,38,2,171,45,171,45,126,0.359910863757,1.51977894404,167,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.469701849664,1,1.34016226474,-174,1.1,"b",0,-4,19,4,-15,-27,30,3
"39","cued",1,1,1,22,2,1,1,1,0,1,1,39,2,82,75,75,82,140,0.619863128937,1.62984093201,61,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.229637289884,1,1.05019126376,19,1.3,"b",0,-14,42,14,-28,-15,19,4
