"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"1","cued",1,0,0,15,1,2,1,1,0,1,1,1,1,117,116,117,116,108,1.1798483272,2.13005366925,122,"[ 2.]",2,13,23,33,43,53,63,73,78,1,1.29953259108,1,2.42002926977,131,1.1,"a",0,5,9,5,-4,NA,NA,NA
"2","neutral",0,0,1,15,1,2,0,2,2,1,1,2,1,21,120,120,21,161,0.949777502299,2.09982606992,127,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,1.02950982604,1,2.3400619947,106,1.5,"a",0,7,21,7,-14,-4,9,5
"3","cued",1,0,1,15,1,2,2,2,0,1,1,3,1,21,178,178,21,44,3.969231592,NA,143,"[ 1.8]",2,14,24,34,44,54,64,74,79,0,1.02954527906,1,2.22003551911,105,1.2,"a",1,-35,38,35,-3,-14,21,7
"4","cued",1,0,0,15,1,2,1,1,0,1,1,4,1,4,38,4,38,148,0.849823440992,2.10988601255,16,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.32955107773,1,2.56008128955,34,1.3,"a",0,12,18,12,-6,-3,38,35
"5","cued",1,1,0,15,2,1,2,2,0,1,1,5,1,109,101,109,101,4,0.979792684,2.84962274088,111,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.3595154835,1,2.71005264172,93,1.2,"a",0,2,18,2,-16,-6,18,12
"6","neutral",0,1,0,15,2,1,0,2,2,1,1,6,1,175,55,175,55,145,2.30961236337,3.92957559439,22,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,1.1595391589,1,2.58998260098,-1,1.1,"a",0,27,23,27,4,-16,18,2
"7","cued",1,1,0,15,2,1,2,2,0,1,1,7,1,110,154,110,154,33,1.34972384206,3.27966117736,118,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.759656514386,0,NA,139,1.2,"a",0,8,21,8,-13,4,23,27
"8","neutral",0,0,1,15,1,2,0,2,2,1,1,8,1,173,136,136,173,70,2.34959014214,4.13954245784,135,"[ 2.]",1,12,22,32,42,52,62,72,77,1,1.85930892464,1,3.06984093315,114,1.1,"a",0,-1,21,1,-20,-13,21,8
"9","cued",1,0,1,15,1,2,2,2,0,1,1,9,1,170,123,123,170,100,1.76964044336,3.52960371644,117,"[ 2.]",2,14,24,34,44,54,64,74,79,1,1.04947407859,1,2.38994798923,132,1.1,"a",0,-6,15,6,-9,-20,21,1
"10","cued",1,1,1,15,2,1,1,1,0,1,1,10,1,174,57,57,174,65,1.90961464678,NA,98,"[ 1.8]",2,14,24,34,44,54,64,74,79,0,1.41943678382,1,2.82996464614,135,1,"a",0,41,37,41,4,-9,15,6
"11","cued",1,0,0,15,1,2,1,1,0,1,1,11,1,177,176,177,176,156,1.12971987012,2.27977865302,164,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.939617209613,1,1.85015633877,179,1.2,"a",0,-13,15,13,-2,4,37,41
"12","neutral",0,0,0,15,1,2,0,1,1,1,1,12,1,144,43,144,43,110,6.66892354137,7.99889554851,145,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.859574521783,1,1.75007338473,162,1.4,"a",1,1,17,1,-16,-2,15,13
