cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,1,0,11,2,1,0,2,2,1,1,65,3,70,60,70,60,173,0.619837394952,1.56991175702,56,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.479629301357,1,1.00047982309,82.0,1.1
0,0,0,1,11,1,2,0,2,2,1,1,66,3,38,112,112,38,127,0.779805366685,1.8099023228,133,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.189725716653,1,1.09029357241,118.0,1.1
0,0,1,0,11,2,1,0,2,2,1,1,67,3,165,153,165,153,160,0.609810684702,1.54983520165,152,[ 2.],1,11,21,31,41,51,61,71,76,1,0.459633567789,1,1.24030664211,133.0,1.2
0,0,0,0,11,1,2,0,1,1,1,1,68,3,49,62,49,62,130,0.399867500324,1.42991337946,47,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.489634979916,1,0.950255535092,81.0,1.1
1,1,1,1,11,2,1,1,1,0,1,1,69,3,59,165,165,59,7,0.329833459022,1.6198313859,168,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.44963540055,1,0.960290057115,153.0,1.1
0,0,1,1,11,2,1,0,1,1,1,1,70,3,96,8,8,96,14,0.929798005596,1.76987720495,38,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.33959096358,1,0.910451250034,57.0,1.2
0,0,0,0,11,1,2,0,1,1,1,1,71,3,67,113,67,113,66,0.469930985997,1.15002328509,63,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.349700298349,1,1.01028179466,81.0,1.3
1,1,1,0,11,2,1,2,2,0,1,1,72,3,178,27,178,27,174,0.419878256533,1.51987885744,4,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.309638224804,1,0.830257097445,22.0,1.5
1,1,0,0,11,1,2,1,1,0,1,1,73,3,177,8,177,8,114,0.419914310867,1.55998269392,178,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.519635791137,1,1.08016470822,166.0,1.1
1,1,1,1,11,2,1,1,1,0,1,1,74,3,30,22,22,30,134,0.609843434057,1.61990649909,42,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.93960899075,1,1.52029258092,63.0,1.2
1,1,1,1,11,2,1,1,1,0,1,1,75,3,115,115,115,115,172,0.529851185736,2.35980662859,127,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.309644534311,1,1.14023693706,108.0,1.3
1,1,1,0,11,2,1,2,2,0,1,1,76,3,147,162,147,162,50,0.449914821638,1.72979710424,121,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.509608479981,1,1.18019505395,96.0,1.4
1,1,0,1,11,1,2,2,2,0,1,1,77,3,91,11,11,91,100,0.549927741107,1.69991166688,31,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.429677223576,1,0.930390198027,46.0,1.2
1,1,0,1,11,1,2,2,2,0,1,1,78,3,5,82,82,5,123,0.369949013162,1.44991722526,62,[ 2.],2,14,24,34,44,54,64,74,79,1,0.339687408923,1,1.30049484573,86.0,1.1
0,0,1,1,11,2,1,0,1,1,1,1,79,3,141,92,92,141,71,0.469937595957,1.2999408108,99,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.439753208084,1,1.17030174473,85.0,1.3
0,0,0,1,11,1,2,0,2,2,1,1,80,3,43,117,117,43,49,1.08976387416,2.33964444418,127,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.299700749027,1,0.970329085932,112.0,1.0
0,0,1,1,11,2,1,0,1,1,1,1,81,3,18,1,1,18,133,0.559852597868,1.98998681012,9,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.389729622544,1,0.870562537748,26.0,1.3
0,0,0,0,11,1,2,0,1,1,1,1,82,3,123,20,123,20,176,0.729861100681,1.76988561763,123,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.649622180623,1,1.69011840844,103.0,1.2
1,1,0,0,11,1,2,1,1,0,1,1,83,3,149,26,149,26,17,0.179868461772,1.66992798147,151,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.559632966884,1,1.42018171385,125.0,1.2
1,1,0,1,11,1,2,2,2,0,1,1,84,3,10,95,95,10,96,0.0499785176253,0.909914040461,93,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.359701169666,1,1.31027187972,76.0,1.2
0,0,0,1,11,1,2,0,2,2,1,1,85,3,30,108,108,30,177,0.509859358055,1.55988144134,110,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.419667038226,1,1.49021845922,94.0,1.4
1,1,1,0,11,2,1,2,2,0,1,1,86,3,75,69,75,69,126,0.129912778557,1.09001805721,57,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.409655350613,1,1.00023525453,85.0,1.1
0,0,1,0,11,2,1,0,2,2,1,1,87,3,135,43,135,43,61,0.76981561213,1.7198422022,121,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.329728601002,1,1.01031935126,105.0,1.2
1,1,1,1,11,2,1,1,1,0,1,1,88,3,12,143,143,12,151,0.269969443954,1.35998960433,135,[ 2.],2,14,24,34,44,54,64,74,79,1,0.289707389034,1,0.970312861482,121.0,1.2
0,0,1,1,11,2,1,0,1,1,1,1,89,3,89,161,161,89,117,0.649884475908,1.57992915323,154,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.279624794563,1,0.790300783279,125.0,1.2
0,0,0,0,11,1,2,0,1,1,1,1,90,3,30,43,30,43,146,0.56985046465,1.47983691423,36,[ 2.],1,11,21,31,41,51,61,71,76,1,0.73963723331,1,1.23030757351,59.0,1.4
0,0,0,1,11,1,2,0,2,2,1,1,91,3,83,84,84,83,36,0.459876033179,1.38993573315,70,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.309665866458,1,0.960269926778,86.0,1.5
0,0,1,0,11,2,1,0,2,2,1,1,92,3,91,116,91,116,142,0.479881982148,1.43991425078,85,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.379699006404,1,0.970615717888,102.0,1.1
1,1,0,0,11,1,2,1,1,0,1,1,93,3,125,164,125,164,66,0.0299647568863,1.34009932969,121,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.429681429916,1,0.920279961905,98.0,1.0
1,1,0,0,11,1,2,1,1,0,1,1,94,3,10,12,10,12,147,0.269890725325,1.17009533367,8,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.26973058399,1,0.810329566655,34.0,1.1
1,1,1,0,11,2,1,2,2,0,1,1,95,3,94,154,94,154,10,0.359806929042,1.99984797089,83,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.629662801843,1,1.54026487918,98.0,1.1
1,1,0,1,11,1,2,2,2,0,1,1,96,3,14,81,81,14,54,0.729880930561,1.41990439592,56,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.339689211643,1,0.78030772374,72.0,1.0
