cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,1,0,4,2,1,0,2,2,1,1,161,6,135,92,135,92,116,0.739864364383,1.62998699286,129,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.57965502498,1,1.66024734819,142.0,1.2
0,0,0,0,4,1,2,0,1,1,1,1,162,6,15,141,15,141,56,0.569913373154,1.9699649929,24,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.539632586297,1,1.62029521813,15.0,1.3
1,1,1,1,4,2,1,1,1,0,1,1,163,6,108,174,174,108,36,0.469868694141,nan,171,[ 1.8],2,14,24,34,44,54,64,74,79,0,0.439626066247,1,1.51020241377,162.0,1.3
0,0,1,0,4,2,1,0,2,2,1,1,164,6,177,102,177,102,152,0.869849704788,2.0099525777,175,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.579578106175,1,1.51028293819,-179.0,1.1
0,0,1,0,4,2,1,0,2,2,1,1,165,6,49,68,49,68,39,0.669845979079,2.11003211065,61,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.449673891126,1,1.45028022799,74.0,1.2
1,1,0,0,4,1,2,1,1,0,1,1,166,6,115,81,115,81,125,0.379846000054,1.80989536934,106,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.799660054734,1,2.42023800971,99.0,1.5
1,1,0,0,4,1,2,1,1,0,1,1,167,6,9,47,9,47,109,0.439925328654,2.40991285635,13,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.559674152522,1,1.42033806432,23.0,1.4
1,1,0,1,4,1,2,2,2,0,1,1,168,6,148,171,171,148,45,0.639859346673,2.60979038716,171,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.599646113231,1,1.67020833894,176.0,1.1
1,1,0,1,4,1,2,2,2,0,1,1,169,6,106,151,151,106,12,0.759935977054,2.5698055065,152,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.669641362911,0,nan,144.0,1.1
1,1,0,0,4,1,2,1,1,0,1,1,170,6,11,61,11,61,108,0.42992647941,2.39995306748,14,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.58971186378,1,1.37027020444,21.0,1.3
1,1,1,1,4,2,1,1,1,0,1,1,171,6,30,154,154,30,161,0.509892935574,1.64992489899,158,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.979633631941,1,2.5101182838,166.0,1.0
1,1,0,0,4,1,2,1,1,0,1,1,172,6,130,10,130,10,91,0.689895657822,2.07992679492,117,[ 1.7],2,13,23,33,43,53,63,73,78,1,6.70893577667,1,7.87950302014,124.0,1.1
1,1,1,0,4,2,1,2,2,0,1,1,173,6,111,25,111,25,119,0.459925430769,1.40009098058,113,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.689715679677,1,1.76027700398,123.0,1.4
1,1,1,1,4,2,1,1,1,0,1,1,174,6,129,84,84,129,164,13.2485416217,nan,126,[ 1.9],2,14,24,34,44,54,64,74,79,0,0.689572658739,1,1.79012812697,78.0,1.5
0,0,0,1,4,1,2,0,2,2,1,1,175,6,103,22,22,103,149,0.739861059352,2.66982434562,18,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.509666986414,1,1.54022990924,36.0,1.4
0,0,1,1,4,2,1,0,1,1,1,1,176,6,149,39,39,149,131,0.749859608128,2.67985083757,44,[ 2.],1,12,22,32,42,52,62,72,77,1,0.759622893354,1,2.10020452604,25.0,1.0
0,0,1,1,4,2,1,0,1,1,1,1,177,6,127,112,112,127,146,0.839818603708,2.56982864224,120,[ 1.9],1,12,22,32,42,52,62,72,77,1,1.04957900452,1,2.44006985193,106.0,1.1
0,0,1,0,4,2,1,0,2,2,1,1,178,6,23,23,23,23,59,0.799850248615,nan,78,[ 2.],1,11,21,31,41,51,61,71,76,0,0.42962301051,1,1.60013917508,43.0,1.3
0,0,0,0,4,1,2,0,1,1,1,1,179,6,167,130,167,130,36,0.919892926584,nan,170,[ 2.],1,11,21,31,41,51,61,71,76,0,16.5778903984,1,18.3183571937,-180.0,1.1
0,0,0,1,4,1,2,0,2,2,1,1,180,6,51,116,116,51,94,0.989814262022,2.25995926309,97,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.509684112913,1,1.44032164093,112.0,1.5
0,0,0,0,4,1,2,0,1,1,1,1,181,6,146,71,146,71,1,0.82988375338,2.81991434965,129,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.73968949425,1,1.68020087836,141.0,1.3
1,1,0,1,4,1,2,2,2,0,1,1,182,6,38,74,74,38,97,0.659911128692,1.9499342434,78,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.939594667696,0,nan,58.0,1.1
