cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,0,1,9,1,2,2,2,0,1,1,1,1,31,121,121,31,84,0.649833558831,2.00013010024,110,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.599514212323,1,1.72999783967,122.0,1.3
0,0,0,1,9,1,2,0,2,2,1,1,2,1,111,140,140,111,59,0.789834634486,2.31987411826,149,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.419616531804,1,1.61022720068,167.0,1.2
1,1,0,0,9,1,2,1,1,0,1,1,3,1,101,117,101,117,18,0.469929268136,2.09986980962,104,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.479598750437,1,1.35019107909,114.0,1.1
0,0,0,1,9,1,2,0,2,2,1,1,4,1,38,129,129,38,48,0.739888462331,2.43988482674,134,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.349606379179,1,1.53043158726,151.0,1.1
0,0,1,1,9,2,1,0,1,1,1,1,5,1,100,126,126,100,81,0.739858115625,2.07017029911,123,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.349661363805,1,1.33028153631,136.0,1.1
0,0,1,1,9,2,1,0,1,1,1,1,6,1,98,139,139,98,170,0.769825338177,1.82986945207,150,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.109691325919,1,1.24049915225,172.0,1.2
1,1,0,0,9,1,2,1,1,0,1,1,7,1,119,67,119,67,103,1.90969330897,3.24964402712,123,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.289710393266,1,1.85031231568,145.0,1.1
1,1,1,1,9,2,1,1,1,0,1,1,8,1,147,159,159,147,149,0.209881128045,1.51998841417,154,[ 2.],2,14,24,34,44,54,64,74,79,1,0.339723869007,1,1.36034100083,166.0,1.3
1,1,0,1,9,1,2,2,2,0,1,1,9,1,151,44,44,151,40,0.419845784647,1.58988769615,23,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.299680638469,1,1.40055459357,11.0,1.2
1,1,0,1,9,1,2,2,2,0,1,1,10,1,116,6,6,116,165,0.399924824298,2.2199685536,12,[ 2.],2,14,24,34,44,54,64,74,79,1,0.399684754806,1,1.21025129777,-1.0,1.1
1,1,0,0,9,1,2,1,1,0,1,1,11,1,36,12,36,12,101,0.399899885913,1.7798938346,33,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.339744901379,1,1.22056256785,21.0,1.3
1,1,1,0,9,2,1,2,2,0,1,1,12,1,72,57,72,57,66,0.549931599724,2.30991739386,54,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.299680037546,1,1.20027083684,42.0,1.3
0,0,0,0,9,1,2,0,1,1,1,1,13,1,177,70,177,70,153,0.689856958845,2.21984866909,169,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.299709783329,1,1.20032612193,178.0,1.4
1,1,0,0,9,1,2,1,1,0,1,1,14,1,154,117,154,117,75,0.369902617118,2.25009051431,164,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.389656219888,1,1.3701691273,177.0,1.0
1,1,1,1,9,2,1,1,1,0,1,1,15,1,82,150,150,82,39,1.10980009332,2.39979832961,153,[ 2.],2,14,24,34,44,54,64,74,79,1,0.379693486244,1,1.31022476694,-176.0,1.4
0,0,1,0,9,2,1,0,2,2,1,1,16,1,13,121,13,121,142,0.769831948352,2.37008559874,10,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.329698639176,1,1.10053262977,1.0,1.4
0,0,0,0,9,1,2,0,1,1,1,1,17,1,74,140,74,140,80,0.819824091259,2.03998373897,66,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.409620146367,1,1.21024889407,55.0,1.4
0,0,0,0,9,1,2,0,1,1,1,1,18,1,170,19,170,19,102,0.899812601576,2.22998717326,165,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.32964365455,1,1.08034275553,176.0,1.4
0,0,0,1,9,1,2,0,2,2,1,1,19,1,90,143,143,90,21,1.09982083425,2.97972449397,176,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.399670332608,1,1.72022620014,-174.0,1.2
0,0,1,0,9,2,1,0,2,2,1,1,20,1,1,3,1,3,179,0.889856177642,2.53984147001,5,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.459581341644,1,1.36019437516,-6.0,1.0
0,0,1,0,9,2,1,0,2,2,1,1,21,1,7,22,7,22,131,0.819776017268,nan,177,[ 1.6],1,11,21,31,41,51,61,71,76,0,0.629612436502,1,1.57039519525,-173.0,1.3
0,0,0,1,9,1,2,0,2,2,1,1,22,1,154,105,105,154,5,0.999788474441,2.63973772032,121,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.319637654313,1,1.07026163969,133.0,1.4
1,1,1,1,9,2,1,1,1,0,1,1,23,1,9,107,107,9,19,0.39989087204,1.68994349203,105,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.389634586592,1,1.80020779982,118.0,1.2
1,1,1,0,9,2,1,2,2,0,1,1,24,1,79,81,79,81,133,0.419852695284,1.51999201972,64,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.449544393776,1,1.18046615546,54.0,1.0
1,1,1,0,9,2,1,2,2,0,1,1,25,1,63,54,63,54,10,1.22976002365,2.85976516456,49,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.369656237915,1,1.20030058263,30.0,1.4
0,0,1,1,9,2,1,0,1,1,1,1,26,1,19,53,53,19,103,1.57983272054,3.19996226192,53,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.459672081301,1,1.44051609833,36.0,1.2
1,1,1,1,9,2,1,1,1,0,1,1,27,1,98,14,14,98,14,0.439920882229,nan,16,[ 1.7],2,14,24,34,44,54,64,74,79,0,0.369704311906,1,1.38019315529,1.0,1.1
1,1,1,0,9,2,1,2,2,0,1,1,28,1,23,93,23,93,108,0.409876741292,1.97007664496,14,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.409664915273,1,1.64018661121,0.0,1.5
0,0,1,1,9,2,1,0,1,1,1,1,29,1,127,136,136,127,177,0.619904495008,1.87998959198,133,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.449654062568,1,1.24032007663,148.0,1.3
0,0,1,0,9,2,1,0,2,2,1,1,30,1,61,67,61,67,27,0.66989844069,2.57006528748,58,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.499695180853,1,1.67013190001,45.0,1.2
1,1,0,1,9,1,2,2,2,0,1,1,31,1,54,43,43,54,140,0.129950306518,1.96014816404,46,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.529674121441,1,1.410239099,32.0,1.0
