cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,0,9,2,1,2,2,0,1,1,193,7,145,2,145,2,142,1.02972955676,2.38975867758,168,[ 2.],2,13,23,33,43,53,63,73,78,1,0.299689652344,1,0.930262967733,-172.0,1.1
0,0,1,1,9,2,1,0,1,1,1,1,194,7,47,55,55,47,52,0.479895006405,1.62998561085,36,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.299683342633,1,1.4001615887,19.0,1.1
0,0,1,1,9,2,1,0,1,1,1,1,195,7,88,166,166,88,170,0.56990604239,2.34985636393,172,[ 2.],1,12,22,32,42,52,62,72,77,1,0.329759633052,1,1.16034358481,-177.0,1.4
1,1,0,1,9,1,2,2,2,0,1,1,196,7,46,73,73,46,74,0.469879691833,1.9399847305,54,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.489625783044,1,1.28018453201,36.0,1.1
1,1,1,0,9,2,1,2,2,0,1,1,197,7,118,19,118,19,160,0.889814713826,2.02990352451,115,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.299678835696,1,1.20021284759,130.0,1.4
1,1,1,1,9,2,1,1,1,0,1,1,198,7,174,61,61,174,70,0.509876951617,1.82004433023,59,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.329614509692,1,1.16014077266,40.0,1.0
0,0,0,1,9,1,2,0,2,2,1,1,199,7,94,47,47,94,177,0.869844778097,2.45985145738,31,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.589642819263,1,1.42034875877,7.0,1.3
0,0,1,1,9,2,1,0,1,1,1,1,200,7,121,3,3,121,99,0.439923586393,2.34989452266,13,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.31972959582,1,1.06025473807,-3.0,1.3
1,1,0,1,9,1,2,2,2,0,1,1,201,7,52,118,118,52,103,0.519920509656,1.54998628389,124,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.509703284324,1,1.18053015396,136.0,1.1
0,0,1,1,9,2,1,0,1,1,1,1,202,7,99,2,2,99,30,1.30977497466,3.11973127841,6,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.29960432101,1,1.12021922941,-10.0,1.2
