"cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"cued",1,0,1,19,1,2,2,2,0,1,1,1,1,7,41,41,7,91,1.43967973406,2.63957824261,63,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.949535792257,1,2.05008954863,77,1.3,"a",0,22,14,22,8,NA,NA,NA
"neutral",0,0,0,19,1,2,0,1,1,1,1,2,1,60,141,60,141,132,0.95979099613,2.61979552088,60,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.779558334907,1,1.93027705245,75,1.4,"a",0,0,15,0,-15,8,14,22
"cued",1,0,1,19,1,2,2,2,0,1,1,3,1,101,40,40,101,154,0.549840927619,1.69982324622,27,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.759552980919,1,2.11003470479,46,1.1,"a",0,-13,19,13,-6,-15,15,0
"cued",1,0,0,19,1,2,1,1,0,1,1,4,1,38,120,38,120,102,0.839829177072,1.84985543927,38,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.479660998128,1,1.48013480517,49,1.4,"a",0,0,11,0,-11,-6,19,13
"neutral",0,1,1,19,2,1,0,1,1,1,1,5,1,44,170,170,44,96,0.669864939468,1.94980499402,166,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.409588629118,1,1.06017800365,157,1.2,"a",0,-4,9,4,-5,-11,11,0
"neutral",0,1,1,19,2,1,0,1,1,1,1,6,1,127,94,94,127,108,0.859789764276,2.47970306088,109,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.389707360271,1,1.48027120871,102,1.3,"a",0,15,7,15,8,-5,9,4
"cued",1,0,1,19,1,2,2,2,0,1,1,7,1,152,149,149,152,49,0.929813761089,2.33972447083,154,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.359657116322,1,1.14018770211,136,1,"a",0,5,18,5,-13,8,7,15
"cued",1,0,0,19,1,2,1,1,0,1,1,8,1,167,81,167,81,71,0.129947220237,1.45998914179,164,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.359690466081,1,1.14024689043,153,1.4,"a",0,-3,11,3,-8,-13,18,5
"neutral",0,1,0,19,2,1,0,2,2,1,1,9,1,24,54,24,54,85,0.769791359635,1.90978947881,20,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.279665144277,1,1.01033001547,48,1.3,"a",0,-4,28,4,-24,-8,11,3
"neutral",0,0,0,19,1,2,0,1,1,1,1,10,1,98,29,98,29,135,0.749798324046,1.86983525514,112,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.389624736999,1,1.60012997396,101,1.3,"a",0,14,11,14,3,-24,28,4
"cued",1,1,1,19,2,1,1,1,0,1,1,11,1,2,82,82,2,1,0.419955299294,2.27983760167,75,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.369662046665,1,1.49014995075,87,1.4,"a",0,-7,12,7,-5,3,11,14
"neutral",0,0,1,19,1,2,0,2,2,1,1,12,1,144,148,148,144,63,0.559881310881,1.78005107021,154,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.309684442094,1,1.2002344098,140,1.1,"a",0,6,14,6,-8,-5,12,7
"neutral",0,1,0,19,2,1,0,2,2,1,1,13,1,58,3,58,3,38,0.579852113326,1.78979971813,63,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.489618157182,1,1.39026379064,79,1.2,"a",0,5,16,5,-11,-8,14,6
"cued",1,1,1,19,2,1,1,1,0,1,1,14,1,27,82,82,27,136,0.369894293253,1.70988706447,81,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.249708640215,1,0.82027359429,95,1,"a",0,-1,14,1,-13,-11,16,5
"cued",1,1,0,19,2,1,2,2,0,1,1,15,1,169,20,169,20,22,0.389899046364,2.10985954342,165,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.279655830411,1,1.11022999624,177,1.1,"a",0,-4,12,4,-8,-13,14,1
"neutral",0,1,1,19,2,1,0,1,1,1,1,16,1,173,133,133,173,165,1.89968179513,2.73967381523,135,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.419677685015,1,1.21023333119,173,1.4,"a",0,2,38,2,-36,-8,12,4
"cued",1,1,0,19,2,1,2,2,0,1,1,17,1,12,134,12,134,93,0.399913290603,1.28991103423,8,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.269746142178,1,1.26029163323,25,1.1,"a",0,-4,17,4,-13,-36,38,2
"neutral",0,0,1,19,1,2,0,2,2,1,1,18,1,98,151,151,98,118,1.20972226854,2.48972030962,160,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.369739562331,1,1.45020444007,-176,1.4,"a",0,9,24,9,-15,-13,17,4
"cued",1,0,0,19,1,2,1,1,0,1,1,19,1,91,115,91,115,52,0.389858485811,1.74981064242,98,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.459691697906,1,1.15023920196,92,1.5,"a",0,7,6,7,1,-15,24,9
"neutral",0,0,1,19,1,2,0,2,2,1,1,20,1,82,99,99,82,132,0.699850587029,2.14978462359,94,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.409707306215,1,1.26023935521,103,1,"a",0,-5,9,5,-4,1,6,7
"cued",1,0,0,19,1,2,1,1,0,1,1,21,1,115,115,115,115,15,0.389937804197,1.81984876032,115,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.389688131574,1,1.33035769276,100,1.1,"a",0,0,15,0,-15,-4,9,5
"neutral",0,1,0,19,2,1,0,2,2,1,1,22,1,153,80,153,80,25,0.389920378191,1.39991479286,144,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.289665267483,1,0.85033615664,156,1.1,"a",0,-9,12,9,-3,-15,15,0
"neutral",0,0,0,19,1,2,0,1,1,1,1,23,1,38,1,38,1,176,0.559812508203,1.57984820748,54,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.359676645458,1,1.81010522001,93,1.2,"a",0,16,39,16,-23,-3,12,9
"cued",1,1,0,19,2,1,2,2,0,1,1,24,1,72,26,72,26,171,0.409923028143,NA,59,"[ 1.8]",2,13,23,33,43,53,63,73,78,0,0.599667583941,1,1.27026050974,75,1.4,"a",0,-13,16,13,-3,-23,39,16
"cued",1,0,1,19,1,2,2,2,0,1,1,25,1,69,111,111,69,8,2.49954016379,4.13946662605,121,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.479664603481,1,1.71017128861,101,1.1,"a",1,10,20,10,-10,-3,16,13
"neutral",0,0,1,19,1,2,0,2,2,1,1,26,1,137,58,58,137,172,0.829840771359,1.95979430102,68,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.369680374017,1,1.27038549629,82,1.4,"a",0,10,14,10,-4,-10,20,10
"neutral",0,1,1,19,2,1,0,1,1,1,1,27,1,21,65,65,21,174,1.08978358403,2.60978037523,63,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.559606400609,1,1.83007391929,43,1.4,"a",0,-2,20,2,-18,-4,14,10
"cued",1,1,1,19,2,1,1,1,0,1,1,28,1,0,32,32,0,14,0.389932396123,1.92991110636,29,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.419597465283,1,1.53009005336,51,1.3,"a",0,-3,22,3,-19,-18,20,2
"neutral",0,0,0,19,1,2,0,1,1,1,1,29,1,149,135,149,135,92,0.739953833108,1.56990246545,150,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.359532430244,1,0.910211608774,165,1.5,"a",0,1,15,1,-14,-19,22,3
"cued",1,1,0,19,2,1,2,2,0,1,1,30,1,13,61,13,61,63,0.349858894449,1.82993090589,12,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.259641763405,1,0.840309293562,1,1.1,"a",0,-1,11,1,-10,-14,15,1
"cued",1,1,1,19,2,1,1,1,0,1,1,31,1,122,118,118,122,96,0.329683486663,1.0397865735,110,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.239615678496,1,1.33010591706,130,1.1,"a",0,-8,20,8,-12,-10,11,1
"neutral",0,1,0,19,2,1,0,2,2,1,1,32,1,148,174,148,174,101,0.5198507733,1.83002254265,147,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.289669173304,1,0.74026810209,164,1.5,"a",0,-1,17,1,-16,-12,20,8
"neutral",0,1,1,19,2,1,0,1,1,1,1,33,2,7,177,177,7,61,0.949795680091,2.79965833013,173,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.549671474757,1,1.26024085743,-175,1.2,"a",0,-4,12,4,-8,-16,17,1
"cued",1,0,0,19,1,2,1,1,0,1,1,34,2,68,13,68,13,24,0.389896342327,2.0599118064,56,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.529630367382,1,1.49014934988,37,1.1,"a",0,-12,19,12,-7,-8,12,4
"neutral",0,1,1,19,2,1,0,1,1,1,1,35,2,127,126,126,127,37,0.549674479204,1.82003443738,128,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.379665174347,1,1.70012760043,111,1.5,"a",0,2,17,2,-15,-7,19,12
"neutral",0,0,0,19,1,2,0,1,1,1,1,36,2,49,177,49,177,26,0.539926432219,1.56987752824,59,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.289645738347,1,1.02023489654,69,1.4,"a",0,10,10,10,0,-15,17,2
"cued",1,0,1,19,1,2,2,2,0,1,1,37,2,173,20,20,173,33,0.459866859339,1.86995092779,29,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.299658179894,1,1.24017391153,37,1.1,"a",0,9,8,9,1,0,10,10
"neutral",0,1,0,19,2,1,0,2,2,1,1,38,2,75,41,75,41,88,0.979829699878,1.82001130289,33,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.259718077286,1,0.700277223717,43,1.2,"a",0,-42,10,42,32,1,8,9
"cued",1,1,0,19,2,1,2,2,0,1,1,39,2,84,167,84,167,152,0.919853897969,2.66978652243,62,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.559558929788,1,1.54016739179,82,1.3,"a",0,-22,20,22,2,32,10,42
"cued",1,0,1,19,1,2,2,2,0,1,1,40,2,28,95,95,28,139,0.459896603716,2.18980524637,99,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.57964209991,1,1.36028535382,110,1.3,"a",0,4,11,4,-7,2,20,22
"neutral",0,0,1,19,1,2,0,2,2,1,1,41,2,177,88,88,177,176,0.72981340054,1.91985179484,92,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.309695558681,1,0.810291798465,98,1.3,"a",0,4,6,4,-2,-7,11,4
"neutral",0,1,0,19,2,1,0,2,2,1,1,42,2,50,83,50,83,21,0.579929328524,2.29982973592,38,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.299616117118,1,1.00019348873,59,1.3,"a",0,-12,21,12,-9,-2,6,4
"cued",1,1,0,19,2,1,2,2,0,1,1,43,2,71,172,71,172,28,0.459789043205,1.87982185817,68,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.319630484562,1,0.920242978609,75,1.2,"a",0,-3,7,3,-4,-9,21,12
"cued",1,0,1,19,1,2,2,2,0,1,1,44,2,93,51,51,93,1,0.399983895972,1.98995751358,58,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.419663864392,1,1.07024722995,71,1.2,"a",0,7,13,7,-6,-4,7,3
"neutral",0,0,1,19,1,2,0,2,2,1,1,45,2,115,160,160,115,31,1.17974713663,2.37992145677,163,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.339713354246,1,1.94013506357,140,1.4,"a",0,3,23,3,-20,-6,13,7
"cued",1,0,0,19,1,2,1,1,0,1,1,46,2,114,31,114,31,4,0.439862707135,1.70004708026,119,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.299665991566,1,1.07018954385,106,1.5,"a",0,5,13,5,-8,-20,23,3
"neutral",0,0,1,19,1,2,0,2,2,1,1,47,2,115,61,61,115,59,0.439902666752,1.27993825186,69,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.29974591083,1,0.990312944021,81,1.2,"a",0,8,12,8,-4,-8,13,5
"neutral",0,1,0,19,2,1,0,2,2,1,1,48,2,160,126,160,126,17,1.21977857556,2.34972219041,148,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.319658125809,1,1.13026990177,106,1.3,"a",0,-12,42,12,-30,-4,12,8
"cued",1,1,0,19,2,1,2,2,0,1,1,49,2,136,94,136,94,135,0.339915856428,1.18997710283,149,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.339691721951,1,1.00027791472,132,1.3,"a",0,13,17,13,-4,-30,42,12
"cued",1,1,1,19,2,1,1,1,0,1,1,50,2,72,179,179,72,105,0.499846320658,1.79978511934,0,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.639558413008,1,1.68017422399,-8,1.4,"a",0,1,8,1,-7,-4,17,13
"cued",1,0,0,19,1,2,1,1,0,1,1,51,2,152,101,152,101,117,0.439899361838,1.57987554828,156,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.239676669502,1,0.65025497551,142,1.2,"a",0,4,14,4,-10,-7,8,1
"cued",1,1,1,19,2,1,1,1,0,1,1,52,2,1,94,94,1,31,0.309920594504,1.12994361485,87,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.269661415747,1,0.74027020522,107,1.3,"a",0,-7,20,7,-13,-10,14,4
"cued",1,1,1,19,2,1,1,1,0,1,1,53,2,174,24,24,174,119,0.31989998676,1.13993893086,27,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.289693810075,1,1.33024592602,46,1.3,"a",0,3,19,3,-16,-13,20,7
"neutral",0,0,1,19,1,2,0,2,2,1,1,54,2,41,52,52,41,27,0.859777445905,1.5198823204,52,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.519614620891,1,0.910521671496,69,1.4,"a",0,0,17,0,-17,-16,19,3
"cued",1,1,1,19,2,1,1,1,0,1,1,55,2,160,41,41,160,12,0.32986856284,1.88982528626,42,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.41969120517,1,0.790267516189,57,1.2,"a",0,1,15,1,-14,-17,17,0
"neutral",0,0,0,19,1,2,0,1,1,1,1,56,2,60,65,60,65,91,0.579876750096,1.46989312151,71,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.389619328926,1,0.760253326036,81,1.1,"a",0,11,10,11,1,-14,15,1
"cued",1,0,0,19,1,2,1,1,0,1,1,57,2,94,121,94,121,102,0.339999981952,1.18006230696,95,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.259686830657,1,0.840220060403,104,1,"a",0,1,9,1,-8,1,10,11
"cued",1,1,0,19,2,1,2,2,0,1,1,58,2,11,10,11,10,45,0.309895356855,1.41996040693,8,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.449710502988,1,1.73023402825,16,1.2,"a",0,-3,8,3,-5,-8,9,1
"neutral",0,1,1,19,2,1,0,1,1,1,1,59,2,34,35,35,34,120,0.359873739566,1.8997454902,32,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.269693263253,1,1.13048412144,23,1.1,"a",0,-3,9,3,-6,-5,8,3
"neutral",0,0,0,19,1,2,0,1,1,1,1,60,2,39,161,39,161,28,0.659818246786,2.0897478307,20,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.269658110803,1,0.690337791108,-12,1.2,"a",0,-19,32,19,-13,-6,9,3
"neutral",0,1,1,19,2,1,0,1,1,1,1,61,2,178,53,53,178,152,1.10970511293,2.71965434015,35,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.239673965465,1,1.38018825493,30,1.4,"a",0,-18,5,18,13,-13,32,19
"cued",1,0,1,19,1,2,2,2,0,1,1,62,2,111,93,93,111,76,0.32986015029,1.7498433913,101,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.269703778962,1,0.930265334959,96,1.4,"a",0,8,5,8,3,13,5,18
"neutral",0,1,0,19,2,1,0,2,2,1,1,63,2,174,147,174,147,175,0.919822350901,1.87982366086,163,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.279669050127,1,0.720294896077,125,1.2,"a",0,-11,38,11,-27,3,5,8
"neutral",0,0,0,19,1,2,0,1,1,1,1,64,2,2,148,2,148,156,0.90977565822,1.84974457385,174,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.279721027706,1,0.920300364232,-179,1.4,"a",0,-8,7,8,1,-27,38,11
"neutral",0,0,1,19,1,2,0,2,2,1,1,65,3,138,111,111,138,57,0.749742140208,2.58964883297,101,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.239711821952,1,0.670262733096,88,1.2,"a",0,-10,13,10,-3,1,7,8
"neutral",0,1,0,19,2,1,0,2,2,1,1,66,3,93,73,93,73,34,0.569858900446,1.56991328159,85,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.26967523637,1,1.04031506216,100,1.4,"a",0,-8,15,8,-7,-3,13,10
"neutral",0,1,0,19,2,1,0,2,2,1,1,67,3,115,46,115,46,133,0.54990071684,1.39986942513,108,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.489706789434,1,1.0801124518,94,1.4,"a",0,-7,14,7,-7,-7,15,8
"neutral",0,1,0,19,2,1,0,2,2,1,1,68,3,31,44,31,44,4,1.32974537904,2.2997531216,34,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.309634567646,1,1.38013387375,56,1.3,"a",0,3,22,3,-19,-7,14,7
"cued",1,1,1,19,2,1,1,1,0,1,1,69,3,25,49,49,25,166,0.55984014945,2.0398109098,53,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.289714841434,1,0.780287823494,65,1.4,"a",0,4,12,4,-8,-19,22,3
"neutral",0,1,1,19,2,1,0,1,1,1,1,70,3,45,94,94,45,155,0.489872336504,1.99981161888,95,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.289670375118,1,0.960301457875,91,1,"a",0,1,4,1,-3,-8,12,4
"cued",1,0,0,19,1,2,1,1,0,1,1,71,3,50,35,50,35,143,0.399930716609,1.45992754988,63,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.259682323929,1,0.690378652071,71,1,"a",0,13,8,13,5,-3,4,1
"cued",1,1,1,19,2,1,1,1,0,1,1,72,3,142,62,62,142,113,0.539906903083,1.18000191686,78,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.389668602438,1,1.54021215861,86,1.4,"a",0,16,8,16,8,5,8,13
"neutral",0,1,1,19,2,1,0,1,1,1,1,73,3,63,59,59,63,89,0.619892866118,1.52976797274,62,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.329658849922,1,1.09030155704,76,1.2,"a",0,3,14,3,-11,8,8,16
"cued",1,1,0,19,2,1,2,2,0,1,1,74,3,68,45,68,45,77,0.289943783107,1.09996367581,67,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.339715156908,1,0.850319932419,77,1.4,"a",0,-1,10,1,-9,-11,14,3
"cued",1,1,0,19,2,1,2,2,0,1,1,75,3,85,15,85,15,156,0.329867060616,2.0697481852,78,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.269698370888,1,1.2202142257,87,1.2,"a",0,-7,9,7,-2,-9,10,1
"cued",1,0,0,19,1,2,1,1,0,1,1,76,3,75,102,75,102,40,0.719856842363,1.92983329023,74,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.349737813725,1,0.89022818752,86,1.2,"a",0,-1,12,1,-11,-2,9,7
"neutral",0,0,0,19,1,2,0,1,1,1,1,77,3,125,21,125,21,91,0.819803392602,2.01972864103,116,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.669608356548,1,1.23020082869,126,1.5,"a",0,-9,10,9,-1,-11,12,1
"neutral",0,0,1,19,1,2,0,2,2,1,1,78,3,171,51,51,171,130,0.779850370716,2.16982242599,54,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.429675705062,1,1.32016618401,81,1.2,"a",0,3,27,3,-24,-1,10,9
"cued",1,1,1,19,2,1,1,1,0,1,1,79,3,112,23,23,112,94,0.449946955836,1.30992900705,29,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.549523053225,1,1.78991418894,41,1,"a",0,6,12,6,-6,-24,27,3
"cued",1,1,1,19,2,1,1,1,0,1,1,80,3,111,178,178,111,47,0.389847369224,1.96986172465,168,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.519638356316,1,1.03021068341,-180,1.2,"a",0,-10,12,10,-2,-6,12,6
"neutral",0,0,0,19,1,2,0,1,1,1,1,81,3,160,19,160,19,31,0.95976846249,2.54966636712,166,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.349722490879,1,1.09021803239,-179,1.5,"a",0,6,15,6,-9,-2,12,10
"cued",1,0,1,19,1,2,2,2,0,1,1,82,3,59,125,125,59,9,0.349885333882,1.68987930691,110,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.329604769213,1,0.780305549997,91,1.1,"a",0,-15,19,15,-4,-9,15,6
"neutral",0,1,1,19,2,1,0,1,1,1,1,83,3,160,129,129,160,39,0.399928012572,1.45990651852,146,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.479707868042,1,1.0402525689,129,1.5,"a",0,17,17,17,0,-4,19,15
