cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,0,0,5,1,2,1,1,0,1,1,129,5,143,172,143,172,52,1.53977380445,2.61973573163,155,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.629639110444,1,1.36027003097,173.0,1.4
0,0,0,1,5,1,2,0,2,2,1,1,130,5,119,74,74,119,139,1.12982674045,2.49969219066,83,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.319623273812,1,1.19024089649,130.0,1.4
1,1,1,1,5,2,1,1,1,0,1,1,131,5,55,88,88,55,9,0.599775745346,1.59974029244,68,[ 2.],2,14,24,34,44,54,64,74,79,1,0.509657762279,1,1.09023305479,86.0,1.0
0,0,0,1,5,1,2,0,2,2,1,1,132,5,168,54,54,168,13,1.62972473823,2.96971120002,72,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.339640044838,1,1.13022453407,107.0,1.0
0,0,1,1,5,2,1,0,1,1,1,1,133,5,23,99,99,23,52,0.949894828052,1.73994481966,117,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.359599730678,1,1.33013205607,141.0,1.3
1,1,1,1,5,2,1,1,1,0,1,1,134,5,139,19,19,139,53,0.759874460658,2.16973048881,51,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.329654643625,1,0.920280234193,77.0,1.3
1,1,0,0,5,1,2,1,1,0,1,1,135,5,91,157,91,157,27,0.419865164786,1.97983000031,85,[ 2.],2,13,23,33,43,53,63,73,78,1,0.639556009433,1,1.37010220352,107.0,1.0
1,1,1,1,5,2,1,1,1,0,1,1,136,5,1,148,148,1,139,0.539844109364,1.92963890013,143,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.439583590593,1,1.23014314261,152.0,1.1
1,1,0,1,5,1,2,2,2,0,1,1,137,5,117,58,58,117,161,0.529764667814,1.80976811696,72,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.369685782092,1,1.00033890575,117.0,1.1
0,0,1,0,5,2,1,0,2,2,1,1,138,5,157,114,157,114,111,0.779850671155,2.21972269217,155,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.299709857019,1,1.11025613523,165.0,1.0
1,1,0,1,5,1,2,2,2,0,1,1,139,5,162,29,29,162,166,0.569838469948,1.83988175554,22,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.549691304333,1,1.68019916121,33.0,1.3
0,0,0,0,5,1,2,0,1,1,1,1,140,5,32,148,32,148,16,0.719866757161,2.42979708619,38,[ 2.],1,11,21,31,41,51,61,71,76,1,0.599602386641,1,1.42015870283,47.0,1.3
0,0,1,0,5,2,1,0,2,2,1,1,141,5,156,17,156,17,117,1.05978471673,2.28971964863,156,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.529637578158,1,1.48015163028,176.0,1.0
1,1,0,0,5,1,2,1,1,0,1,1,142,5,47,147,47,147,164,0.649822029414,2.24977113346,46,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.409637902643,1,1.13024165963,58.0,1.1
1,1,1,0,5,2,1,2,2,0,1,1,143,5,113,92,113,92,66,0.429905247602,1.69985058703,115,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.379664573444,1,1.48023184999,131.0,1.1
0,0,0,1,5,1,2,0,2,2,1,1,144,5,175,92,92,175,44,2.28955590428,3.59952457052,99,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.37970333128,1,1.08018666256,123.0,1.0
1,1,1,0,5,2,1,2,2,0,1,1,145,5,45,6,45,6,27,0.569882936306,1.99982934533,52,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.379665775237,1,1.00024576676,70.0,1.1
1,1,1,0,5,2,1,2,2,0,1,1,146,5,178,56,178,56,174,0.439891850609,1.94984224959,176,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.349693647831,1,1.19022767676,-175.0,1.5
1,1,0,1,5,1,2,2,2,0,1,1,147,5,119,107,107,119,107,0.459894500564,1.48989456967,124,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.329721944057,1,1.43020990224,136.0,1.4
1,1,1,0,5,2,1,2,2,0,1,1,148,5,66,95,66,95,138,0.419909631142,1.52980913417,64,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.379685905276,1,1.12027698935,90.0,1.4
0,0,0,0,5,1,2,0,1,1,1,1,149,5,43,46,43,46,89,1.44972822944,2.37974419226,50,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.419631115514,1,1.20015929772,84.0,1.1
0,0,1,1,5,2,1,0,1,1,1,1,150,5,60,55,55,60,52,0.919769171534,2.2597616423,51,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.339775547049,1,1.16025254487,80.0,1.1
1,1,1,1,5,2,1,1,1,0,1,1,151,5,44,149,149,44,170,0.539767795481,1.99973350231,140,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.789650996181,1,1.46018893995,156.0,1.1
0,0,1,1,5,2,1,0,1,1,1,1,152,5,14,168,168,14,80,0.719829201116,2.24970533527,168,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.309681137162,1,1.35013981364,155.0,1.4
1,1,0,1,5,1,2,2,2,0,1,1,153,5,81,9,9,81,122,0.329916634595,1.71986375268,8,[ 2.],2,14,24,34,44,54,64,74,79,1,0.289650845956,1,1.82006808761,16.0,1.3
0,0,0,0,5,1,2,0,1,1,1,1,154,5,163,24,163,24,116,0.519877212766,2.16982543049,164,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.329625500133,1,1.35008663428,176.0,1.1
1,1,0,0,5,1,2,1,1,0,1,1,155,5,146,60,146,60,83,0.489886457561,2.05998241175,138,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.339700134511,1,1.37015027526,158.0,1.5
0,0,0,0,5,1,2,0,1,1,1,1,156,5,85,78,85,78,70,0.75977170732,1.44983428771,70,[ 2.],1,11,21,31,41,51,61,71,76,1,0.509673986489,1,1.56020579511,114.0,1.1
0,0,1,1,5,2,1,0,1,1,1,1,157,5,144,121,121,144,75,0.909840555061,1.94985156349,134,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.669583118888,1,1.62020172704,106.0,1.5
0,0,0,1,5,1,2,0,2,2,1,1,158,5,59,9,9,59,171,0.889841510487,1.80991593755,16,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.499642316228,1,1.37012053087,35.0,1.3
