cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,1,25,2,1,1,1,0,1,1,193,7,159,30,30,159,5,1.68964799275,2.52976097302,15,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.839531013538,1,1.5600896415,1.0,1.1
0,0,0,1,25,1,2,0,2,2,1,1,194,7,20,25,25,20,174,0.919792547036,2.18975480182,29,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.329694213593,1,1.1802898056,44.0,1.3
0,0,0,0,25,1,2,0,1,1,1,1,195,7,129,73,129,73,96,1.61961669516,2.60969411746,135,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.339637221725,1,0.860370950468,105.0,1.3
1,1,0,0,25,1,2,1,1,0,1,1,196,7,118,160,118,160,106,1.40975564909,2.10984659454,114,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.349664355119,1,1.5302996753,80.0,1.3
1,1,1,1,25,2,1,1,1,0,1,1,197,7,86,45,45,86,142,0.489912626872,1.77978974086,43,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.629588546231,1,1.26024518316,28.0,1.4
0,0,1,1,25,2,1,0,1,1,1,1,198,7,110,109,109,110,0,1.56971177175,2.82968895577,136,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.43958587524,1,1.44008642071,158.0,1.3
1,1,1,0,25,2,1,2,2,0,1,1,199,7,22,172,22,172,130,1.32968189524,2.4397382021,27,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.579718474721,1,1.50017501065,-8.0,1.5
0,0,0,1,25,1,2,0,2,2,1,1,200,7,127,165,165,127,125,0.999761144267,2.30971956534,153,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.739641848617,1,1.34025974885,139.0,1.2
1,1,1,1,25,2,1,1,1,0,1,1,201,7,146,44,44,146,69,0.729843656154,1.55988293365,47,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.549585697969,1,1.14017075631,30.0,1.1
1,1,1,0,25,2,1,2,2,0,1,1,202,7,18,90,18,90,33,0.749890111343,1.48989399914,13,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.359660542454,1,1.02029432433,1.0,1.3
1,1,1,0,25,2,1,2,2,0,1,1,203,7,14,60,14,60,21,0.709786384861,1.45990994388,9,[ 2.],2,13,23,33,43,53,63,73,78,1,0.599581356524,1,2.07999413527,24.0,1.5
1,1,0,1,25,1,2,2,2,0,1,1,204,7,4,11,11,4,131,1.01980189096,2.38981945811,16,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.589570146811,1,2.04006406742,0.0,1.3
1,1,0,1,25,1,2,2,2,0,1,1,205,7,23,67,67,23,164,0.759839128412,2.18974158213,69,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.379583814167,1,0.960764566669,51.0,1.0
1,1,0,1,25,1,2,2,2,0,1,1,206,7,95,87,87,95,143,0.889855662041,2.37986773702,93,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.389579100156,1,1.2801432173,66.0,1.0
1,1,1,0,25,2,1,2,2,0,1,1,207,7,175,57,175,57,153,0.799806151306,1.78980816129,167,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.529551260683,1,1.19023161194,-178.0,1.4
0,0,1,0,25,2,1,0,2,2,1,1,208,7,125,156,125,156,125,1.0497586055,2.27967932643,159,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.699594305799,1,1.33013707314,174.0,1.0
0,0,1,1,25,2,1,0,1,1,1,1,209,7,11,68,68,11,56,1.17978565478,1.86985998247,47,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.349612978607,1,0.910162605171,29.0,1.2
0,0,0,0,25,1,2,0,1,1,1,1,210,7,53,132,53,132,67,1.0398765882,1.9698675237,118,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.869453477062,1,2.22998171176,36.0,1.1
1,1,0,0,25,1,2,1,1,0,1,1,211,7,124,134,124,134,82,0.389826969302,1.29990785276,139,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.599581957402,1,1.27014702997,107.0,1.5
1,1,0,0,25,1,2,1,1,0,1,1,212,7,126,38,126,38,37,2.52945842243,4.14940080261,154,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.349602162489,1,1.64012854343,136.0,1.3
1,1,0,0,25,1,2,1,1,0,1,1,213,7,143,65,143,65,74,0.849843271586,2.15982753114,130,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.409623151761,1,1.55017066917,92.0,1.1
0,0,0,1,25,1,2,0,2,2,1,1,214,7,87,47,47,87,126,1.21976890184,2.24971419937,44,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.599616508873,1,1.30018035861,23.0,1.2
0,0,1,1,25,2,1,0,1,1,1,1,215,7,66,20,20,66,164,1.14984306127,3.12964518057,168,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.709590493119,0,nan,192.0,1.2
0,0,1,0,25,2,1,0,2,2,1,1,216,7,95,126,95,126,4,1.19962720478,2.27974872978,134,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.39961134117,1,1.4600784949,118.0,1.2
0,0,1,0,25,2,1,0,2,2,1,1,217,7,114,82,114,82,47,2.24961715483,3.97961313784,135,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.449687820073,1,1.31027899851,87.0,1.2
0,0,0,0,25,1,2,0,1,1,1,1,218,7,172,18,172,18,80,1.37970309181,3.12962565148,13,[ 1.9],1,11,21,31,41,51,61,71,76,1,1.08944440956,1,2.72990314475,48.0,1.2
0,0,0,1,25,1,2,0,2,2,1,1,219,7,119,98,98,119,131,3.1794224138,4.76935189578,118,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.329704128351,1,1.38023308112,104.0,1.4
1,1,0,1,25,1,2,2,2,0,1,1,220,7,13,10,10,13,92,1.18975179736,2.51967134654,17,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.549658105825,1,1.19020607391,-6.0,1.3
1,1,1,1,25,2,1,1,1,0,1,1,221,7,62,27,27,62,165,0.719848069741,2.44977104402,14,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.309696430893,1,0.970407127345,-3.0,1.1
0,0,1,1,25,2,1,0,1,1,1,1,222,7,56,157,157,56,88,1.43970425153,2.64967856629,150,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.339703019708,1,0.98023866945,135.0,1.1
0,0,0,0,25,1,2,0,1,1,1,1,223,7,110,123,110,123,90,1.39971169061,2.27975624097,121,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.389613952051,1,1.06019014117,105.0,1.0
0,0,1,0,25,2,1,0,2,2,1,1,224,7,67,105,67,105,58,0.989771266351,1.76980947725,63,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.369632693968,1,1.01018306563,47.0,1.1
