cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,1,3,1,2,0,2,2,1,1,225,8,60,49,49,60,68,0.759896916745,1.44994761405,55,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.359718501044,0,nan,55.0,1.4
1,1,0,1,3,1,2,2,2,0,1,1,226,8,123,146,146,123,170,3.36953346618,4.61981207167,145,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.369671980152,1,1.10022916406,118.0,1.4
0,0,0,1,3,1,2,0,2,2,1,1,227,8,114,153,153,114,147,0.69992365205,1.45998011529,158,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.329717746936,1,1.86018316902,126.0,1.3
1,1,1,0,3,2,1,2,2,0,1,1,228,8,46,38,46,38,134,0.4098593737,1.91988841956,54,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.479709799576,1,1.18024519685,36.0,1.3
1,1,0,1,3,1,2,2,2,0,1,1,229,8,2,13,13,2,105,0.429897334427,1.74997348408,46,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.429633226304,1,1.12015535205,17.0,1.1
1,1,0,0,3,1,2,1,1,0,1,1,230,8,151,140,151,140,73,0.429871494474,1.6199487829,151,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.429638334201,1,1.1402672269,138.0,1.0
0,0,0,0,3,1,2,0,1,1,1,1,231,8,12,56,12,56,67,1.62974211451,2.43981686101,34,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.719633806148,1,1.29024004989,19.0,1.4
0,0,0,0,3,1,2,0,1,1,1,1,232,8,121,168,121,168,98,0.65986665996,1.68995334691,59,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.589653573756,1,1.36023139354,45.0,1.2
1,1,0,0,3,1,2,1,1,0,1,1,233,8,88,7,88,7,89,0.449854770617,1.19995234639,67,[ 2.],2,13,23,33,43,53,63,73,78,1,0.509650460968,1,1.33018286555,43.0,1.5
1,1,1,1,3,2,1,1,1,0,1,1,234,8,55,150,150,55,0,0.319899176247,1.70993602218,143,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.599607954267,1,1.79016838915,106.0,1.1
1,1,0,0,3,1,2,1,1,0,1,1,235,8,130,140,130,140,60,0.629877323459,1.89993458893,119,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.59969599027,1,1.17033558554,106.0,1.3
0,0,1,0,3,2,1,0,2,2,1,1,236,8,33,58,33,58,178,0.609865803621,2.39987194212,27,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.569583162898,1,1.53016495786,45.0,1.3
