cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,1,22,2,1,1,1,0,1,1,97,4,143,10,10,143,34,0.939784063637,1.58983718244,23,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.499581779528,1,1.34019020619,-15.0,1.2
0,0,0,0,22,1,2,0,1,1,1,1,98,4,162,112,162,112,151,0.799782957996,1.46989834118,151,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.279627855887,1,1.15019132385,122.0,1.3
1,1,0,1,22,1,2,2,2,0,1,1,99,4,75,63,63,75,88,0.319901706172,1.03995057067,57,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.409687812838,1,1.14029434068,38.0,1.5
0,0,1,0,22,2,1,0,2,2,1,1,100,4,119,168,119,168,53,1.23973406947,2.38982173953,146,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.519667779117,1,1.21021106914,177.0,1.1
0,0,1,1,22,2,1,0,1,1,1,1,101,4,71,39,39,71,114,0.679870555958,1.74984707312,48,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.61965912628,1,1.35025664075,16.0,1.3
0,0,0,1,22,1,2,0,2,2,1,1,102,4,10,132,132,10,152,0.859759739549,1.57988131191,136,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.64958021721,1,1.19018035157,119.0,1.2
0,0,0,0,22,1,2,0,1,1,1,1,103,4,17,82,17,82,160,1.1297601121,2.39979864127,22,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.889542024548,1,1.65008466561,2.0,1.3
1,1,1,0,22,2,1,2,2,0,1,1,104,4,10,113,10,113,131,1.23980136931,2.45975439162,11,[ 1.9],2,13,23,33,43,53,63,73,78,1,1.31952164231,1,2.12002987633,22.0,1.4
0,0,1,1,22,2,1,0,1,1,1,1,105,4,6,125,125,6,7,0.759775302638,2.41968574577,130,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.459632110198,1,1.24018503852,101.0,1.3
0,0,0,1,22,1,2,0,2,2,1,1,106,4,162,141,141,162,178,0.90975751625,2.18969543214,129,[ 2.],1,12,22,32,42,52,62,72,77,1,0.556939575554,1,1.21751851046,106.0,1.3
1,1,0,0,22,1,2,1,1,0,1,1,107,4,129,126,129,126,30,0.560213532797,1.63985418767,137,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.50968066223,1,1.18024310868,169.0,1.0
0,0,0,1,22,1,2,0,2,2,1,1,108,4,108,41,41,108,178,0.879828914178,1.92981587483,40,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.889508074179,1,1.52007187864,2.0,1.0
1,1,1,1,22,2,1,1,1,0,1,1,109,4,8,55,55,8,2,0.2499152743,1.12013713545,41,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.379622207507,1,1.05033577816,9.0,1.5
0,0,1,0,22,2,1,0,2,2,1,1,110,4,68,22,68,22,62,0.839789712018,2.20980967363,31,[ 1.9],1,11,21,31,41,51,61,71,76,1,1.60941302516,1,2.27004784298,3.0,1.2
1,1,1,1,22,2,1,1,1,0,1,1,111,4,77,121,121,77,108,0.419819744575,1.22988155227,122,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.319675170082,1,0.980223159078,150.0,1.2
