cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,0,1,6,1,2,2,2,0,1,1,129,5,8,26,26,8,98,0.349902096903,1.52993503272,26,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.439617208953,1,1.4401682425,45.0,1.2
1,1,0,1,6,1,2,2,2,0,1,1,130,5,158,45,45,158,74,0.289930778288,1.53995969703,38,[ 1.6],2,14,24,34,44,54,64,74,79,1,1.55945648983,1,2.6399734879,53.0,1.4
0,0,1,1,6,2,1,0,1,1,1,1,131,5,38,179,179,38,64,1.04986823568,2.72973997767,10,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.699598983383,1,1.58013166517,30.0,1.1
0,0,0,0,6,1,2,0,1,1,1,1,132,5,163,131,163,131,124,1.69977414836,2.30985031056,124,[ 1.8],1,11,21,31,41,51,61,71,76,1,1.12955297479,1,2.3800370821,80.0,1.2
1,1,1,0,6,2,1,2,2,0,1,1,133,5,49,135,49,135,75,2.01966564823,3.22956255928,56,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.449638868717,1,1.3102865705,41.0,1.4
1,1,0,1,6,1,2,2,2,0,1,1,134,5,20,34,34,20,100,0.429917636407,1.86983620122,37,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.689622692247,1,1.9901264643,48.0,1.5
1,1,1,0,6,2,1,2,2,0,1,1,135,5,156,37,156,37,94,1.09979746362,2.46973747187,132,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.529605734595,1,1.73013687806,102.0,1.2
1,1,0,1,6,1,2,2,2,0,1,1,136,5,117,66,66,117,119,0.559844076133,nan,118,[ 1.6],2,14,24,34,44,54,64,74,79,0,0.619667270679,1,1.26021282394,54.0,1.4
0,0,1,0,6,2,1,0,2,2,1,1,137,5,120,45,120,45,111,0.979806753676,2.21983624629,121,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.429637612817,1,1.58008930109,98.0,1.3
1,1,0,0,6,1,2,1,1,0,1,1,138,5,141,145,141,145,75,0.339872024411,1.57986155658,144,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.499711413455,1,1.49014734589,-177.0,1.1
1,1,1,1,6,2,1,1,1,0,1,1,139,5,52,87,87,52,47,0.589865189071,2.07984668408,120,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.299718984908,1,1.07022883516,177.0,1.2
