cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,1,0,25,2,1,0,2,2,1,1,1,1,135,20,135,20,45,0.879805093718,2.15979478236,147,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.269736017857,1,0.870267689665,167.0,1.1
0,0,1,1,25,2,1,0,1,1,1,1,2,1,56,145,145,56,54,1.03981740006,2.41978548653,152,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.30966217989,1,1.25020993767,168.0,1.3
1,1,0,1,25,1,2,2,2,0,1,1,3,1,129,119,119,129,122,0.469917548195,1.11002265674,114,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.309678404039,1,1.33016351251,152.0,1.2
1,1,0,1,25,1,2,2,2,0,1,1,4,1,33,150,150,33,112,0.329970024351,1.28000350922,155,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.479698615149,1,1.12021233223,139.0,1.1
0,0,0,1,25,1,2,0,2,2,1,1,5,1,55,9,9,55,156,1.13977867238,2.66966072572,15,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.4597302763,1,1.20023290686,0.0,1.3
0,0,1,1,25,2,1,0,1,1,1,1,6,1,144,155,155,144,68,1.91960326515,2.93971491743,156,[ 2.],1,12,22,32,42,52,62,72,77,1,0.699574776707,1,1.72008872814,138.0,1.3
0,0,0,1,25,1,2,0,2,2,1,1,7,1,166,0,0,166,138,1.2797349092,2.27978868929,7,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.389566180907,1,1.54010087223,-13.0,1.2
1,1,1,1,25,2,1,1,1,0,1,1,8,1,14,171,171,14,140,1.49977301195,2.37975837415,169,[ 2.],2,14,24,34,44,54,64,74,79,1,0.359643717398,1,1.36014846912,153.0,1.2
0,0,1,0,25,2,1,0,2,2,1,1,9,1,138,109,138,109,62,0.969803528395,2.1397997037,125,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.339628208298,1,1.5101555747,94.0,1.1
1,1,0,1,25,1,2,2,2,0,1,1,10,1,99,125,125,99,92,0.609775839155,1.67985220389,150,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.629558201035,1,1.92011642941,134.0,1.2
0,0,1,0,25,2,1,0,2,2,1,1,11,1,98,15,98,15,168,1.04985084286,1.87997664923,129,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.479618696118,1,1.04025184707,110.0,1.0
0,0,0,1,25,1,2,0,2,2,1,1,12,1,9,88,88,9,32,0.789832797993,2.33972885819,80,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.389528324537,1,1.18009541612,65.0,1.4
1,1,1,0,25,2,1,2,2,0,1,1,13,1,16,131,16,131,96,0.659812058104,1.91973275799,21,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.349684785557,1,0.970247289282,5.0,1.1
1,1,1,1,25,2,1,1,1,0,1,1,14,1,77,78,78,77,55,0.449841348716,1.17998875726,70,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.309746004728,1,1.0702458171,57.0,1.4
1,1,0,0,25,1,2,1,1,0,1,1,15,1,23,44,23,44,19,0.569857488765,1.27996354972,17,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.329650949163,1,1.01029062583,2.0,1.2
