"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"201",0,0,0,1,6,1,2,0,2,2,1,1,201,7,85,88,88,85,169,1.81973481285,2.69979608153,93,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.579711028873,1,1.81022452664,117,1,"a"
"202",1,1,1,0,6,2,1,2,2,0,1,1,202,7,151,112,151,112,157,0.789968184874,1.81996616282,45,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.319637615823,1,1.11020851242,97,1.5,"a"
"203",0,0,0,0,6,1,2,0,1,1,1,1,203,7,135,148,135,148,60,1.33974192762,2.24983422423,138,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.599586394339,1,1.69011543762,103,1,"a"
"204",0,0,0,0,6,1,2,0,1,1,1,1,204,7,41,115,41,115,176,0.889861493481,2.04986643295,31,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.479583666212,1,1.73021920259,51,1.1,"a"
"205",1,1,1,1,6,2,1,1,1,0,1,1,205,7,173,159,159,173,58,0.319862956696,1.96985720299,149,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.549568231865,1,1.25016202009,84,1.1,"a"
"206",1,1,1,0,6,2,1,2,2,0,1,1,206,7,137,135,137,135,62,0.359872378949,1.55987412158,118,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.439604289408,1,1.23018299782,147,1.5,"a"
"207",1,1,0,1,6,1,2,2,2,0,1,1,207,7,106,107,107,106,90,0.529874941823,2.14990996881,145,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.279642615384,1,0.940289776345,78,1.2,"a"
"208",0,0,0,0,6,1,2,0,1,1,1,1,208,7,142,19,142,19,35,1.27974026309,2.85993682644,137,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.289696123325,1,1.17026365784,163,1.4,"a"
"209",0,0,1,0,6,2,1,0,2,2,1,1,209,7,163,130,163,130,75,0.969839476176,NA,1,"[ 1.6]",1,11,21,31,41,51,61,71,76,0,0.519694341632,1,1.23025420554,28,1.1,"a"
"210",0,0,1,1,6,2,1,0,1,1,1,1,210,7,71,179,179,71,79,0.859812137822,1.94985744936,178,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.389721631913,1,1.56038729787,172,1.1,"a"
