"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv"
"236",0,0,0,0,1,1,2,0,1,1,1,1,236,8,38,166,38,166,46,0.789838445427,2.04982740692,25,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.54963466872,1,1.54024953513,43,1.5
"237",0,0,0,1,1,1,2,0,2,2,1,1,237,8,40,86,86,40,46,0.959784866311,2.55974268323,102,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.529633460914,1,1.27015346047,122,1.4
"238",1,1,0,1,1,1,2,2,2,0,1,1,238,8,22,104,104,22,77,0.569876536383,1.7998803611,105,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.40962501228,1,1.55007873273,120,1
"239",0,0,0,0,1,1,2,0,1,1,1,1,239,8,87,53,87,53,106,0.759839187538,2.22981994977,76,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.659688331962,1,1.38013501589,93,1.5
"240",0,0,1,0,1,2,1,0,2,2,1,1,240,8,93,148,93,148,107,0.689838114933,2.0298748719,94,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,1.06965165011,1,2.08004629322,101,1.3
"241",1,1,1,0,1,2,1,2,2,0,1,1,241,8,164,124,164,124,12,0.499892889839,1.73996567067,170,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.599648354184,1,1.56021619127,163,1.2
"242",1,1,1,1,1,2,1,1,1,0,1,1,242,8,95,66,66,95,97,0.429868382193,1.67986800663,80,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.509667405671,1,1.46011160488,96,1.3
"243",1,1,1,1,1,2,1,1,1,0,1,1,243,8,78,82,82,78,103,0.559929562674,1.83986264662,75,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.519570213341,1,1.29012282065,87,1.1
"244",0,0,1,0,1,2,1,0,2,2,1,1,244,8,173,174,173,174,155,0.48986329258,1.56992941545,169,"[ 2.]",1,11,21,31,41,51,61,71,76,1,0.679628849019,1,1.46023989672,179,1.2
"245",0,0,1,1,1,2,1,0,1,1,1,1,245,8,6,97,97,6,20,1.57979316472,2.89978815323,111,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.84955093351,1,1.96004956211,126,1.3
"246",0,0,0,0,1,1,2,0,1,1,1,1,246,8,109,78,109,78,76,0.58984138983,1.93976292751,103,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.809529289147,1,1.74008314633,114,1.3
"247",1,1,0,1,1,1,2,2,2,0,1,1,247,8,67,115,115,67,178,1.54968183925,3.37958279014,73,"[ 2.]",2,14,24,34,44,54,64,74,79,1,1.19954728305,1,2.37026285404,121,1.5
"248",1,1,0,0,1,1,2,1,1,0,1,1,248,8,17,61,17,61,84,1.02983130675,2.73989176015,22,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.669608565688,1,1.77014309497,40,1.3
"249",1,1,1,0,1,2,1,2,2,0,1,1,249,8,29,132,29,132,92,0.6298411014,2.01979329692,18,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.619601189657,1,1.40016536727,34,1.3
"250",1,1,0,0,1,1,2,1,1,0,1,1,250,8,24,85,24,85,132,0.51986735766,2.30962017505,19,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.479663641043,1,1.32016744638,35,1.1
"251",1,1,1,0,1,2,1,2,2,0,1,1,251,8,39,63,39,63,119,0.669855835429,2.19981678604,20,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.509593795603,1,1.12016588405,41,1.2
"252",0,0,1,0,1,2,1,0,2,2,1,1,252,8,26,137,26,137,155,0.769844748853,2.67978688533,9,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.659612017851,1,1.43013097485,29,1.5
