"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"92",1,1,0,0,23,1,2,1,1,0,1,1,92,3,22,153,22,153,167,0.469934907993,2.18994823647,16,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.539591528424,1,1.36020842422,4,1.1,"b"
"93",0,0,0,1,23,1,2,0,2,2,1,1,93,3,144,109,109,144,10,0.529987572907,1.35008587193,159,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.439505356029,1,0.990121122091,169,1.3,"b"
"94",0,0,0,1,23,1,2,0,2,2,1,1,94,3,160,2,2,160,150,0.359813016719,1.25990982546,2,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,1.15947661988,1,1.66015235808,-11,1.3,"b"
"95",1,1,0,1,23,1,2,2,2,0,1,1,95,3,83,38,38,83,120,0.129895571557,NA,48,"[ 1.7]",2,14,24,34,44,54,64,74,79,0,1.82956284035,1,2.21025193107,25,1.3,"b"
"96",0,0,1,1,23,2,1,0,1,1,1,1,96,3,129,124,124,129,179,0.919830227162,1.58997443673,27,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.499617211884,1,1.01028660434,11,1.1,"b"
"97",0,0,1,1,23,2,1,0,1,1,1,1,97,4,87,38,38,87,39,0.789892590978,1.16009046299,39,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.549633556997,1,0.920319679155,39,1.3,"b"
"98",1,1,0,0,23,1,2,1,1,0,1,1,98,4,27,29,27,29,118,1.52978085531,2.09010333476,98,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,1.49955351402,1,2.08014333222,88,1.2,"b"
"99",0,0,1,1,23,2,1,0,1,1,1,1,99,4,135,75,75,135,84,0.459923826967,1.18001948193,53,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.42967425152,1,0.910255115959,23,1.3,"b"
"100",0,0,0,1,23,1,2,0,2,2,1,1,100,4,93,63,63,93,138,0.639889225806,NA,86,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,1.39956499165,1,1.98041020224,60,1,"b"
"101",0,0,0,0,23,1,2,0,1,1,1,1,101,4,31,119,31,119,20,0.369885391916,0.839906231935,7,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,1.80945234258,1,2.38002507052,-21,1.2,"b"
