"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",1,1,0,1,22,1,2,2,2,0,1,1,1,1,141,138,138,141,106,0.539924131443,1.28989649043,142,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.35970265486,1,0.940261171474,161,1.4,"b"
"2",1,1,1,1,22,2,1,1,1,0,1,1,2,1,21,21,21,21,91,0.319916428012,1.30982776047,24,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.299738792472,1,0.960291588601,48,1.2,"b"
"3",1,1,1,0,22,2,1,2,2,0,1,1,3,1,21,19,21,19,114,0.759861831013,1.7298298756,13,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.96964356319,1,1.66016221666,-12,1.4,"b"
"4",1,1,0,0,22,1,2,1,1,0,1,1,4,1,23,37,23,37,76,0.199922004285,0.850011777473,31,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.379668175707,1,1.00029233371,4,1.3,"b"
"5",0,0,0,1,22,1,2,0,2,2,1,1,5,1,1,177,177,1,62,0.519883799605,2.20982379458,171,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.569666457155,1,1.49013396275,-170,1.2,"b"
"6",0,0,1,0,22,2,1,0,2,2,1,1,6,1,83,86,83,86,165,0.589778595524,2.05965500416,74,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.499562250556,1,1.13016781697,57,1.2,"b"
"7",1,1,0,0,22,1,2,1,1,0,1,1,7,1,108,125,108,125,168,0.209924143459,1.34994357629,122,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.569601560876,1,1.34024699044,147,1.5,"b"
"8",0,0,1,1,22,2,1,0,1,1,1,1,8,1,119,165,165,119,112,0.439915358427,1.30996025704,157,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,0.399702799072,1,1.14022343549,-177,1.5,"b"
"9",1,1,1,0,22,2,1,2,2,0,1,1,9,1,26,5,26,5,74,0.999838360192,2.07984856333,30,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.439580361424,1,0.990235513409,1,1.3,"b"
"10",0,0,1,1,22,2,1,0,1,1,1,1,10,1,28,126,126,28,34,0.679846219851,2.00979903785,127,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.339683955115,1,0.880367312944,89,1.3,"b"
