"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",0,0,1,1,16,2,1,0,1,1,1,1,1,1,144,129,129,144,48,1.02981332869,2.18985130592,126,"[ 1.5]",1,12,22,32,42,52,62,72,77,1,1.37950881979,1,2.60573023546,105,1.3,"a"
"2",1,1,0,1,16,1,2,2,2,0,1,1,2,1,100,85,85,100,177,0.729818736836,1.85981954806,78,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,1.15951789346,1,2.43002965469,87,1.5,"a"
"3",0,0,1,0,16,2,1,0,2,2,1,1,3,1,97,47,97,47,104,2.00964964201,3.16972006814,91,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.979620888678,1,2.15025072785,104,1.1,"a"
"4",0,0,0,0,16,1,2,0,1,1,1,1,4,1,169,56,169,56,137,0.749827990781,1.80989000424,158,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,4.17911071986,1,5.24959363761,172,1,"a"
"5",1,1,0,1,16,1,2,2,2,0,1,1,5,1,102,147,147,102,139,0.489846198219,1.65984448564,153,"[ 2.]",2,14,24,34,44,54,64,74,79,1,2.48939311543,1,3.71985962846,167,1.5,"a"
"6",1,1,1,0,16,2,1,2,2,0,1,1,6,1,164,160,164,160,166,1.01985181669,2.01985001397,161,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.579630803621,1,1.52012793279,172,1,"a"
"7",0,0,0,1,16,1,2,0,2,2,1,1,7,1,28,93,93,28,171,1.57975008338,2.7797473793,100,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.599614819532,1,1.68016410731,120,1.2,"a"
"8",0,0,1,1,16,2,1,0,1,1,1,1,8,1,50,112,112,50,126,0.789797224417,2.01981786552,110,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,1.6694938272,1,2.37004816258,125,1.2,"a"
"9",1,1,0,0,16,1,2,1,1,0,1,1,9,1,28,23,28,23,154,0.369864886385,1.31992753079,22,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.649542560639,1,2.00001862807,7,1.1,"a"
"10",0,0,1,1,16,2,1,0,1,1,1,1,10,1,34,68,68,34,103,0.649867951002,2.08986182177,50,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.749565995957,1,1.51015800812,28,1.3,"a"
"11",1,1,1,0,16,2,1,2,2,0,1,1,11,1,112,69,112,69,5,0.0498787673023,1.31988066015,127,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.789549350871,1,2.11004623968,146,1.4,"a"
"12",1,1,1,1,16,2,1,1,1,0,1,1,12,1,136,47,47,136,146,1.14980575728,2.859813539,22,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.899518674642,0,NA,112,1.4,"a"
"13",1,1,0,0,16,1,2,1,1,0,1,1,13,1,98,179,98,179,69,1.05982525666,2.54974506581,132,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,1.85940552413,1,3.3198422022,106,1.1,"a"
"14",1,1,1,1,16,2,1,1,1,0,1,1,14,1,128,164,164,128,120,0.859872728201,1.70990382506,161,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,1.97941027128,1,2.88001177775,174,1.4,"a"
"15",0,0,0,0,16,1,2,0,1,1,1,1,15,1,129,66,129,66,72,2.72953661167,3.87957912574,109,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,2.52934973004,1,3.55984508655,124,1.3,"a"
"16",0,0,0,1,16,1,2,0,2,2,1,1,16,1,171,83,83,171,163,0.869817715296,2.02982504634,72,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,6.6386917084,1,7.9591925031,88,1.3,"a"
"17",1,1,0,0,16,1,2,1,1,0,1,1,17,1,76,175,76,175,28,0.639849052523,NA,42,"[ 1.9]",2,13,23,33,43,53,63,73,78,0,0.739583752715,1,1.66018489864,78,1.2,"a"
"18",0,0,0,1,16,1,2,0,2,2,1,1,18,1,155,3,3,155,161,0.659843884734,2.05983817613,10,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.599692035899,1,1.530224949,1,1.3,"a"
"19",0,0,0,1,16,1,2,0,2,2,1,1,19,1,30,11,11,30,103,0.699844966364,2.21983859677,14,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.889603732825,1,2.00009464263,23,1.2,"a"
