"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",1,1,0,0,4,1,2,1,1,0,1,1,1,1,113,159,113,159,48,1.16989059799,2.41989788425,115,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.669640461507,1,1.60017883632,130,1.2,"a"
"2",1,1,0,0,4,1,2,1,1,0,1,1,2,1,44,175,44,175,18,0.699863859685,1.7999196559,49,"[ 2.]",2,13,23,33,43,53,63,73,78,1,0.579620171105,1,1.55021283386,41,1,"a"
"3",1,1,1,0,4,2,1,2,2,0,1,1,3,1,117,119,117,119,92,0.669806317776,2.47980654909,121,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,1.12960555352,1,2.99007897102,129,1.5,"a"
"4",1,1,0,1,4,1,2,2,2,0,1,1,4,1,167,160,160,167,62,0.499879063107,2.46991586703,150,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.77966475999,1,1.87024211104,158,1,"a"
"5",1,1,0,1,4,1,2,2,2,0,1,1,5,1,135,20,20,135,72,0.609855888353,2.52985818387,13,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.71961637924,1,2.65012891416,6,1.2,"a"
"6",0,0,1,0,4,2,1,0,2,2,1,1,6,1,167,43,167,43,3,0.849857114255,2.66984928417,168,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.769594099838,1,1.84015482321,175,1.4,"a"
"7",0,0,0,1,4,1,2,0,2,2,1,1,7,1,25,70,70,25,176,0.97980129096,NA,132,"[ 1.8]",1,12,22,32,42,52,62,72,77,0,0.789601413126,0,NA,63,1.3,"a"
"8",0,0,1,0,4,2,1,0,2,2,1,1,8,1,136,135,136,135,91,0.849815950671,2.08985443407,148,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.639707612223,1,2.02021102805,171,1.4,"a"
"9",1,1,1,1,4,2,1,1,1,0,1,1,9,1,71,12,12,71,163,0.539885577222,2.33989026444,10,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,1.94951299252,1,3.26001094293,-8,1.1,"a"
"10",0,0,0,1,4,1,2,0,2,2,1,1,10,1,92,38,38,92,143,0.919870692189,2.60989945568,14,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,2.45948014274,1,3.90998241381,23,1.1,"a"
"11",0,0,0,0,4,1,2,0,1,1,1,1,11,1,106,92,106,92,4,0.90978891484,2.64981012163,107,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.889598017908,1,1.98019399773,120,1,"a"
"12",1,1,1,0,4,2,1,2,2,0,1,1,12,1,135,169,135,169,88,0.579878870863,1.69991523901,116,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.489691221912,1,1.55027623184,127,1.4,"a"
"13",1,1,0,1,4,1,2,2,2,0,1,1,13,1,34,88,88,34,69,0.519849719829,NA,82,"[ 1.5]",2,14,24,34,44,54,64,74,79,0,0.47965932166,1,1.45028413401,109,1.3,"a"
"14",1,1,1,0,4,2,1,2,2,0,1,1,14,1,179,50,179,50,78,0.709851892141,2.11990987277,0,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.729565651855,1,1.86011286033,17,1.1,"a"
