"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"1",0,0,1,1,7,2,1,0,1,1,1,1,1,1,67,30,30,67,132,0.739836751054,2.53979264433,27,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.319638517183,1,1.02026024767,40,1.1,"b"
"2",0,0,0,0,7,1,2,0,1,1,1,1,2,1,158,103,158,103,15,0.509898623648,2.07991428634,147,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.299618332654,1,1.43015499546,162,1.5,"b"
"3",0,0,0,1,7,1,2,0,2,2,1,1,3,1,153,98,98,153,146,0.369893738258,NA,98,"[ 2.]",1,12,22,32,42,52,62,72,77,0,0.329677002399,1,1.18024145124,105,1.4,"b"
"4",1,1,1,1,7,2,1,1,1,0,1,1,4,1,24,72,72,24,117,0.299897454879,1.5199157766,81,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.359670773982,1,1.17023631648,92,1.3,"b"
"5",1,1,0,0,7,1,2,1,1,0,1,1,5,1,149,89,149,89,51,0.279980025785,1.5799565002,128,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.349631387398,1,1.22017515896,146,1.1,"b"
"6",1,1,0,0,7,1,2,1,1,0,1,1,6,1,51,14,51,14,85,0.389874863704,1.78995586624,48,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.319614781281,1,1.03017584701,61,1.3,"b"
"7",1,1,0,0,7,1,2,1,1,0,1,1,7,1,54,89,54,89,136,0.369889832349,1.79989249738,52,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.329663782402,1,1.17021047739,64,1,"b"
"8",0,0,1,0,7,2,1,0,2,2,1,1,8,1,160,143,160,143,0,0.479860985713,1.71987906106,148,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.27968768356,1,1.08030127173,165,1.2,"b"
"9",1,1,1,0,7,2,1,2,2,0,1,1,9,1,111,6,111,6,41,0.31984853488,1.76981910536,118,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.299700356729,1,0.920264784538,137,1.2,"b"
"10",0,0,0,1,7,1,2,0,2,2,1,1,10,1,41,107,107,41,157,0.579811981584,1.89979992735,118,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.299669409917,1,0.900280354093,130,1.3,"b"
"11",1,1,0,1,7,1,2,2,2,0,1,1,11,1,123,153,153,123,37,0.369876311899,1.8798353269,1,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.28966968333,1,1.1002036781,-19,1.4,"b"
"12",0,0,1,0,7,2,1,0,2,2,1,1,12,1,14,48,14,48,142,0.499934350693,1.77997506829,25,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.359630212621,1,1.83018131528,13,1.1,"b"
"13",0,0,0,0,7,1,2,0,1,1,1,1,13,1,130,140,130,140,9,0.469906928211,1.79979575103,120,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.0496792498016,1,0.78029144687,132,1.4,"b"
"14",1,1,1,0,7,2,1,2,2,0,1,1,14,1,112,4,112,4,19,0.309890571465,1.55993150839,112,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.369636549207,1,1.0001973986,126,1.1,"b"
"15",0,0,0,1,7,1,2,0,2,2,1,1,15,1,47,158,158,47,125,0.509917852734,1.41998370936,157,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.269661216524,1,0.900232281372,177,1.2,"b"
"16",1,1,0,1,7,1,2,2,2,0,1,1,16,1,143,16,16,143,53,0.299915181695,1.6699321063,16,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.279637207204,1,1.33017695869,29,1.2,"b"
"17",0,0,1,1,7,2,1,0,1,1,1,1,17,1,149,44,44,149,109,0.439913757542,1.7098210463,41,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.239616968589,1,1.50012994657,62,1.4,"b"
"18",1,1,1,1,7,2,1,1,1,0,1,1,18,1,104,140,140,104,11,0.339910783045,2.31981548489,131,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.319638517183,1,0.960296440426,148,1.2,"b"
"19",0,0,1,1,7,2,1,0,1,1,1,1,19,1,132,89,89,132,80,0.539898404317,1.73992838968,87,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.359603772627,1,1.09020425197,100,1.2,"b"
"20",1,1,1,1,7,2,1,1,1,0,1,1,20,1,167,76,76,167,48,0.289942195559,1.35996401757,69,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.769608186303,1,1.70012477875,83,1.4,"b"
"21",1,1,1,0,7,2,1,2,2,0,1,1,21,1,61,129,61,129,170,0.299922693059,1.73995092376,44,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.309596426512,1,1.29022762733,60,1.2,"b"
"22",0,0,1,1,7,2,1,0,1,1,1,1,22,1,86,108,108,86,151,0.399872787566,2.01985132911,109,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.289685607419,1,0.770216306206,122,1.1,"b"
"23",0,0,0,0,7,1,2,0,1,1,1,1,23,1,64,178,64,178,111,0.579903620204,1.73992328195,66,"[ 1.5]",1,11,21,31,41,51,61,71,76,1,0.316305575445,1,0.846945474419,77,1,"b"
"24",0,0,1,0,7,2,1,0,2,2,1,1,24,1,110,20,110,20,47,0.529872538191,1.50989021092,126,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.279671158562,1,0.970282947012,142,1.2,"b"
"25",1,1,1,1,7,2,1,1,1,0,1,1,25,1,160,175,175,160,123,0.319923348048,1.76990894126,176,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.489596612795,1,1.21025475236,-170,1.3,"b"
