cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,1,0,16,2,1,0,2,2,1,1,193,7,140,20,140,20,135,0.769861881856,1.59991076552,156,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.299724484799,1,1.18023561507,166.0,1.2
1,1,0,0,16,1,2,1,1,0,1,1,194,7,107,10,107,10,125,0.319922723545,1.06012180356,113,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.309688099966,1,1.6101670217,125.0,1.2
0,0,0,1,16,1,2,0,2,2,1,1,195,7,72,59,59,72,15,0.479871766753,1.76988561762,64,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.529591594533,1,1.16019210951,54.0,1.3
1,1,1,1,16,2,1,1,1,0,1,1,196,7,154,104,104,154,119,0.35989526216,1.16989793619,115,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.289726618013,1,1.78019655621,122.0,1.1
1,1,1,1,16,2,1,1,1,0,1,1,197,7,162,20,20,162,179,0.319926328977,1.3999726588,15,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.409674579591,1,1.330193101,7.0,1.5
0,0,1,1,16,2,1,0,1,1,1,1,198,7,13,129,129,13,142,0.509919448608,1.61987705472,135,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.359723403169,1,1.30045758959,147.0,1.1
0,0,1,1,16,2,1,0,1,1,1,1,199,7,82,150,150,82,165,0.509763213162,1.86978496594,153,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.34966694809,1,1.37021100799,168.0,1.5
0,0,0,1,16,1,2,0,2,2,1,1,200,7,86,28,28,86,162,0.519898687322,1.98984679913,16,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.39966619696,1,1.69011089712,29.0,1.0
1,1,1,0,16,2,1,2,2,0,1,1,201,7,116,59,116,59,156,0.449878166395,1.6798988075,125,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.469742301648,1,1.39034434893,140.0,1.2
1,1,1,1,16,2,1,1,1,0,1,1,202,7,167,32,32,167,165,0.35991569295,1.92980461556,24,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.309735271054,1,1.42022287587,33.0,1.3
0,0,1,1,16,2,1,0,1,1,1,1,203,7,73,93,93,73,40,0.509865968013,1.74986704964,98,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.459632666429,1,1.54020508907,106.0,1.1
1,1,0,0,16,1,2,1,1,0,1,1,204,7,128,3,128,3,107,0.629876423769,1.74988117092,115,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.489666227006,1,2.0001189793,123.0,1.1
1,1,0,1,16,1,2,2,2,0,1,1,205,7,6,71,71,6,71,0.379883784863,1.15996015996,71,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.439669682211,1,1.3902542131,82.0,1.0
0,0,0,1,16,1,2,0,2,2,1,1,206,7,147,92,92,147,27,0.649877865944,1.79974401423,102,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.639585555431,1,2.18014367652,96.0,1.2
