cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,0,0,9,1,2,0,1,1,1,1,97,4,139,71,139,71,79,0.899840845044,2.08003087552,132,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.39966672706,1,1.1804634513,143.0,1.3
1,1,0,1,9,1,2,2,2,0,1,1,98,4,36,82,82,36,111,0.389897491228,1.78008432779,58,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.559688516596,1,2.10022585762,75.0,1.3
1,1,1,0,9,2,1,2,2,0,1,1,99,4,142,170,142,170,130,0.449880310787,1.5099706959,141,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.65964335709,1,1.92043123571,153.0,1.2
1,1,0,0,9,1,2,1,1,0,1,1,100,4,150,106,150,106,134,0.699944985327,1.88996194042,149,[ 1.5],2,13,23,33,43,53,63,73,78,1,0.349704329934,1,1.46032017879,158.0,1.4
0,0,1,0,9,2,1,0,2,2,1,1,101,4,145,108,145,108,83,0.679850057224,2.1898673248,145,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.349636425422,1,1.54016506806,158.0,1.4
0,0,1,0,9,2,1,0,2,2,1,1,102,4,131,83,131,83,67,0.989900255483,2.8098150864,137,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.429706661524,1,1.55056347224,150.0,1.4
0,0,1,1,9,2,1,0,1,1,1,1,103,4,168,104,104,168,139,0.55987991117,1.53005931429,118,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.439583162446,1,1.46011977034,129.0,1.1
0,0,0,1,9,1,2,0,2,2,1,1,104,4,107,167,167,107,75,1.17989167127,2.56984865406,168,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.409667919896,1,1.42046233358,177.0,1.2
1,1,1,0,9,2,1,2,2,0,1,1,105,4,30,109,30,109,70,1.04987706579,2.5298664174,23,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.399640286365,1,1.13023814954,40.0,1.4
0,0,1,1,9,2,1,0,1,1,1,1,106,4,85,20,20,85,42,1.80967657321,2.80967897691,21,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.359690800111,1,1.38021448812,35.0,1.4
1,1,1,0,9,2,1,2,2,0,1,1,107,4,109,74,109,74,42,0.419935622916,2.17015608723,112,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.449672090315,1,1.4602552789,124.0,1.2
0,0,0,1,9,1,2,0,2,2,1,1,108,4,31,103,103,31,104,0.779841253674,2.02989601295,120,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.369607863464,1,1.60012355016,136.0,1.3
1,1,1,1,9,2,1,1,1,0,1,1,109,4,86,96,96,86,120,0.629904786456,1.82994306537,108,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.39965560995,1,1.27022239929,121.0,1.4
0,0,1,1,9,2,1,0,1,1,1,1,110,4,165,179,179,165,162,0.82987516086,1.86007974874,176,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.679662568658,1,1.71017993794,-172.0,1.5
0,0,0,1,9,1,2,0,2,2,1,1,111,4,47,105,105,47,2,1.24980297175,2.94998231778,138,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.369693795721,1,1.01026529932,161.0,1.2
1,1,0,0,9,1,2,1,1,0,1,1,112,4,135,113,135,113,131,1.08982625158,2.4398803198,120,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.369638811093,1,1.55019630714,137.0,1.5
1,1,0,1,9,1,2,2,2,0,1,1,113,4,111,120,120,111,9,2.01974428843,3.1898033263,157,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.409715392962,1,1.27027708346,174.0,1.2
0,0,1,0,9,2,1,0,2,2,1,1,114,4,30,48,30,48,155,1.05980344348,2.76976584661,25,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.76963724869,1,2.59006797362,6.0,1.1
0,0,0,1,9,1,2,0,2,2,1,1,115,4,115,88,88,115,107,1.17980934456,2.18986432017,99,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.509695772764,1,1.59032036207,116.0,1.2
0,0,0,0,9,1,2,0,1,1,1,1,116,4,109,150,109,150,111,0.879870909315,1.76015976189,99,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.349672480916,1,1.69018115782,110.0,1.4
1,1,0,0,9,1,2,1,1,0,1,1,117,4,41,24,41,24,130,0.43989984986,1.69996030891,49,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.4296252362,1,1.56018337824,76.0,1.3
1,1,1,1,9,2,1,1,1,0,1,1,118,4,75,124,124,75,122,0.78986107518,2.11989803507,134,[ 1.7],2,14,24,34,44,54,64,74,79,1,1.12960777933,1,2.26022060553,158.0,1.4
1,1,0,0,9,1,2,1,1,0,1,1,119,4,104,13,104,13,63,0.55988081256,1.90984203788,106,[ 2.],2,13,23,33,43,53,63,73,78,1,0.559662376363,1,1.51021136631,118.0,1.3
1,1,1,1,9,2,1,1,1,0,1,1,120,4,85,43,43,85,124,0.369887593995,1.70013187297,41,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.409719298974,1,1.6302220748,32.0,1.5
1,1,1,1,9,2,1,1,1,0,1,1,121,4,1,44,44,1,0,0.769863196447,2.09004258454,38,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.499664834146,1,1.48019847347,28.0,1.5
1,1,0,1,9,1,2,2,2,0,1,1,122,4,70,45,45,70,55,0.390018878054,1.76991577737,36,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.439645658633,1,2.36025897459,17.0,1.4
0,0,0,0,9,1,2,0,1,1,1,1,123,4,98,87,98,87,64,0.73986622811,2.1598724597,100,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.329682113743,1,1.56036425663,108.0,1.5
1,1,1,0,9,2,1,2,2,0,1,1,124,4,136,15,136,15,26,0.739765573195,2.11982772685,154,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.619580596496,1,1.65015505364,170.0,1.2
0,0,1,1,9,2,1,0,1,1,1,1,125,4,101,115,115,101,23,1.65975242496,3.44978566512,151,[ 2.],1,12,22,32,42,52,62,72,77,1,0.68953396172,1,1.59017674102,173.0,1.4
1,1,0,1,9,1,2,2,2,0,1,1,126,4,161,124,124,161,16,0.459822012059,1.76002275102,136,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.429670005105,1,1.12054793533,157.0,1.2
0,0,0,0,9,1,2,0,1,1,1,1,127,4,83,114,83,114,122,1.19983666862,2.21988442412,73,[ 2.],1,11,21,31,41,51,61,71,76,1,0.66960939582,1,2.19044451315,59.0,1.3
0,0,1,0,9,2,1,0,2,2,1,1,128,4,159,176,159,176,93,0.779835544887,1.84992411821,166,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.409667919896,1,1.38033196893,179.0,1.3
